exp(coef)	exp(-coef)	lower95%	upper95%	p-value
ABLIM2	0.807488143089294	1.23840827702335	0.55062772053893	1.18417049652279	0.272527774001301
ABLIM3	0.766624981759571	1.30441874944485	0.527460627144358	1.11423266953538	0.1630386793152
ABO	1.05553896584759	0.947383310664429	0.715078957981433	1.55809718071936	0.785591408973174
ABR	1.31341613737241	0.761373316152926	0.900967312675751	1.9146776199761	0.155712986111081
ABRA	0.820855639101709	1.21824100653598	0.566864284558984	1.18865132025259	0.295401810648133
ABRACL	1.091501064229	0.916169514416709	0.748418370487146	1.5918564003681	0.649034844569705
ABRAXAS1	1.16439211472506	0.858817220894802	0.804283490637465	1.68573520732013	0.420027344872205
ABRAXAS2	0.992935342047811	1.00711492244562	0.669669276942227	1.47225000076069	0.971857465054212
ABT1	0.726875859003791	1.37575073874449	0.495980508545564	1.06526064089061	0.100403407631164
ABTB1	1.01619909410477	0.984059133491908	0.695208847053777	1.48539622767412	0.933876595296478
ABTB2	0.810237312808883	1.23420630498151	0.552638007828519	1.18791051966781	0.280534713282425
AC000093.1	1.08901654206962	0.918259697046983	0.750855030907331	1.57947537152166	0.653044653587685
AC000120.2	0.925127425382474	1.08093217492344	0.455950587985924	1.87709101763726	0.831298401588959
AC000120.3	NA	NA	NA	NA	NA
AC001226.2	1.67055140705529	0.598604745580814	1.13844071970129	2.4513722632362	0.00839435956403498
AC002094.3	NA	NA	NA	NA	NA
AC002310.4	NA	NA	NA	NA	NA
AC002456.2	0.968198325334937	1.03284624010691	0.398404062692768	2.35290772600445	0.943420664992439
AC002985.1	NA	NA	NA	NA	NA
AC002996.1	NA	NA	NA	NA	NA
AC003002.1	NA	NA	NA	NA	NA
AC003002.2	1.17472787919423	0.851260975168068	0.829025239722872	1.66458815007549	0.361625049294179
AC003002.3	1.11669789344303	0.895497346123559	0.757404190615408	1.64643158919793	0.577410055013073
AC003005.1	NA	NA	NA	NA	NA
AC003006.1	NA	NA	NA	NA	NA
AC003688.1	NA	NA	NA	NA	NA
AC004076.1	0.920214804560882	1.08670279487319	0.667532972153349	1.26854450919691	0.613371588616846
AC004080.3	NA	NA	NA	NA	NA
AC004223.3	1.81036825228118	0.552373805020021	0.253589821687757	12.9241512417761	0.512014091330467
