exp(coef)	exp(-coef)	lower95%	upper95%	p-value
AC004233.4	0.551774719943225	1.81233384541955	0.376680502403743	0.808258828438367	0.00426072950162603
AC004593.2	1.05939123066099	0.943938340301409	0.766522765990331	1.46415713843985	0.725496823986336
AC004687.2	0.818263791030932	1.22209978122104	0.550594903075291	1.21605853590831	0.320317670379498
AC004691.2	NA	NA	NA	NA	NA
AC004706.3	0.960832823538627	1.04076377856985	0.649649499499356	1.42107354119516	0.84147117846797
AC004805.1	0.838433233208226	1.19270081431952	0.467391205100366	1.50402976965955	0.564512082975365
AC004832.3	NA	NA	NA	NA	NA
AC004922.1	1.05693497761262	0.946131995989739	0.709102872046531	1.57538714189228	0.785642469015379
AC004997.1	1.14327924355975	0.874676948464814	0.766223412814997	1.70588291468736	0.505225603698293
AC005020.2	NA	NA	NA	NA	NA
AC005041.1	0.967830041670996	1.03323926406899	0.650762629910781	1.4393804230727	0.871699360274382
AC005154.5	NA	NA	NA	NA	NA
AC005192.1	NA	NA	NA	NA	NA
AC005258.1	NA	NA	NA	NA	NA
AC005324.2	0.820721929486249	1.2184394787964	0.538261569260297	1.25140735286991	0.358123991857601
AC005324.3	NA	NA	NA	NA	NA
AC005520.1	0.921627500682068	1.08503706677582	0.661094487298059	1.28483487055689	0.632193945566128
AC005551.1	1.47319616953622	0.678796225973635	1.02389430478644	2.11965917164551	0.0323904555058486
AC005670.2	NA	NA	NA	NA	NA
AC005697.1	1.3905967288198	0.719115743101668	0.951733899691549	2.03182765984384	0.0771927669376812
AC005702.1	NA	NA	NA	NA	NA
AC005726.1	1.02810661876395	0.972661766541544	0.728394246882083	1.45114163664909	0.874554121836014
AC005832.4	1.02804810389893	0.972717128904225	0.455680869135531	2.31934885907146	0.946642181984464
AC005833.1	1.00281227449252	0.997195612215715	0.681015002998121	1.47666711224515	0.988651127867322
AC005837.2	NA	NA	NA	NA	NA
AC005943.1	NA	NA	NA	NA	NA
AC006030.1	0.801529990842314	1.24761395259723	0.555026559335114	1.15751276297353	0.24016688134549
AC006059.2	1.22091691957434	0.819056550013771	0.170560133458976	8.73966321597321	0.837202252818799
AC006064.6	NA	NA	NA	NA	NA
AC006254.1	0.909791754697306	1.09915263007929	0.615058414870492	1.34576003986465	0.636243816829309
AC006486.1	NA	NA	NA	NA	NA
AC006486.3	NA	NA	NA	NA	NA
AC006538.2	NA	NA	NA	NA	NA
AC006978.2	0.809081293684448	1.23596974470406	0.559685296672885	1.16960824892403	0.261530095400883
AC007040.2	1.18348560466325	0.844961692867015	0.807780780792996	1.73393352472453	0.386835893085421
AC007192.1	1.16296831278456	0.859868655927217	0.832337677751624	1.62493580753718	0.370127144513896
AC007326.4	3301670.71609082	3.02876963207282e-07	0	Inf	0.177214222466584
AC007375.2	NA	NA	NA	NA	NA
AC007731.4	NA	NA	NA	NA	NA
