,PIR,IFITM2,RPL31,RGCC,EIF3D,GPX3,THYN1,FSTL3,ACOT7,MSMB,PPDPF,AGPAT2,ICAM1,A2M,KLK7,POLE4,RPL36AL,S100A11,RPS21,CYBA,UPP1,MT-ND3,FASN,H2AZ1,PYGB,KLF5,CD59,PFDN2,CCL21,AREG,SERPINA1,MFSD1,class
TCGA-52-7812,0.013473296246658075,-0.007399526243816467,-0.0038777371127043975,-0.011950634006919213,0.05437525350690409,-0.00031670895863094515,-0.0036598260300150843,-0.012352174509608484,-0.0030093362207829497,0.013301967361991253,-0.025789941304885777,0.04993118039854775,-0.003708580590375109,0.01850854632184577,-0.00010225739534160352,0.014882510844463721,0.07491965020612454,-0.0012528684534459575,0.09188405693876665,-0.1507643521839878,-0.13939855429372977,0.007366866219665679,-0.0932656999823649,-0.04424582721526414,-0.05748157581485232,-0.001497750762102756,-0.017787252598893216,0.005901796473273536,-0.013939223062880214,0.039380479469045,-0.14203250846048057,0.027388779519029568,0
TCGA-77-8150,0.03487946205903714,-0.005710170898691413,-0.0027494495068397197,-0.020032065792102836,0.0794489837023648,-4.405977636569666e-05,-0.0021536606834100624,-0.007547855043812837,-0.0037478601225954516,0.0011376802321453735,-0.016821707167621405,0.0218312420640944,-0.0006546109083812804,0.01611246520674986,-0.0011392505675056788,0.02445565725397557,0.0347601247764422,-0.0006219658298949852,0.05612747775155522,-0.10325435189225186,-0.036198559112995084,0.016594046777071814,-0.04032945679654217,-0.029621586690013534,-0.029137350919104806,-0.016844772592980607,-0.01024500365639594,0.0014766922784294754,-0.00253551897872683,0.0029810096453371585,-0.01459919217489477,0.03518645045136386,1
TCGA-56-7730,0.06790043153106752,-0.003463513434711786,-0.0030290767334123668,-0.018551087862959576,0.08946573915263004,-0.00011765151990322156,-0.0037983980429803967,-0.01101468886838562,-0.017265012862913168,0.00015161529159264228,-0.02942300604759435,0.026688130005082935,-0.00033323711988560324,0.018866276565544023,-0.008868128198335734,0.024257674751557205,0.057351529150400364,-0.0017030320391022973,0.050735586752217475,-0.05499207209512913,-0.06159394190006168,0.019333193006096712,-0.05343758381901769,-0.04257191720281023,-0.07199707769740464,-0.013054219111786522,-0.021133264835017405,0.003063949161731005,-0.0011996485202337012,0.01905072094623491,-0.05049832217994568,0.021791517110331875,0
TCGA-85-8354,0.0156413791518527,-0.0018676499683144298,-0.004046133914598935,-0.010330522605891124,0.09703743496172121,-2.5263391463585555e-05,-0.0008501862873618021,-0.00352410841685738,-0.004443433162260865,0.001716355916923389,-0.014562958841081879,0.013308669653619907,-0.00021893528493458915,0.009989787570259787,-0.0034549241838766616,0.009677168590324761,0.029105681709709782,-0.0009452354502794635,0.09216962140818716,-0.09161749963110262,-0.10769446476785814,0.026615747259920036,-0.13788471702887534,-0.04834342437150915,-0.0345395522533642,-0.006747662863053047,-0.006818060245349297,0.0025775281048895605,-0.002815009026487267,0.012302700281896303,-0.010728243992654105,0.0263645876390466,1
TCGA-34-2596,0.030619350479017135,-0.00418077483049391,-0.001581530047719568,-0.011669212903837309,0.10776331077720991,-0.00012533829316095784,-0.0019776120766302205,-0.011434060041700236,-0.0027754908805459294,0.0009248385253620599,-0.01472519839318365,0.029227568621243618,-0.0003191292787668759,0.022001690266075093,-5.600124712541461e-05,0.016802326344706006,0.030211109951804604,-0.0012506353622566053,0.02118851581495822,-0.07691172853915099,-0.033283180193581965,0.013499079672183,-0.07973704544368705,-0.02819126767541927,-0.04699923598895702,-0.007953645535604334,-0.018595670080991573,0.0016682525653134953,-0.02341373635346905,0.004160367837519088,-0.01167898503008113,0.03961534971860129,0
TCGA-43-3920,0.013371201709151532,-0.004208959119502189,-0.002892213986156467,-0.04752264193823024,0.0519221259004097,-6.5135143794341e-05,-0.0025172104676137843,-0.010848509943175266,-0.0023385403954623765,0.0016782922660337667,-0.01649812187006358,0.01018931954764448,-0.00023582044132499573,0.008375072967378048,-0.0018906814748003169,0.026385555885854933,0.043350741091241485,-0.00124162996409322,0.12290481550867109,-0.10883105251240867,-0.02727513284288717,0.010584132005357879,-0.01035419558007146,-0.036378155407088726,-0.029741899240155162,-0.0024914556391230315,-0.023027238770797685,0.0018277453333222732,-0.00505904795497121,0.06408274785129273,-0.008012342502813893,0.03420795167505148,1
TCGA-22-1000,0.005589944598318801,-0.008665721221653284,-0.001644737339878654,-0.04215896899473787,0.047386423370178773,-0.00022295100976069422,-0.0013738992945302542,-0.04314022796770911,-0.002680359980017974,0.006984802882854483,-0.017091647009057093,0.020476638525497342,-0.0008927466641583835,0.05618323765669112,-0.02005021028970553,0.00795584613081158,0.03597971348885198,-0.0011945724535395875,0.03807113038813879,-0.1488749401124239,-0.033250478426741316,0.013475547974606273,-0.032400373065067024,-0.01026391425627772,-0.028010539264601356,-0.0023957563830991676,-0.029335091674793628,0.0010177154879726506,-0.009443426528215188,0.018456655807280457,-0.09991420320000619,0.036964721332860453,0
TCGA-77-8145,0.014167167097314895,-0.011053427426727035,-0.0009024366141881574,-0.0287263307052484,0.09644872449670105,-2.87874442984328e-05,-0.0014423828481670694,-0.034768637621880066,-0.004161717895937245,0.0007315941892241137,-0.02826444159209508,0.016115156255620603,-0.0006630145439786654,0.017201245879420884,-0.0006948123235867386,0.0083810819987973,0.023777808958833895,-0.0015328333745667595,0.0247001406559498,-0.09143213546621763,-0.04371963737497293,0.01697489503959455,-0.16857328869133426,-0.021496019251002103,-0.026221147005369955,-0.004836715652921997,-0.01365305567440129,0.002515093421847297,-0.0015693756053734263,0.016857587051854125,-0.0117171692266596,0.016959804576048447,0
TCGA-18-3406,0.029046929266132955,-0.0037244939161526175,-0.00294646067178885,-0.037578153385943995,0.04588911657959239,-0.00016739587978698023,-0.0013690072873794067,-0.011654966491990224,-0.0013739372640054605,0.0030518540246546864,-0.005774130801878363,0.006474699969949366,-0.00017250154739049177,0.010797473438783298,-0.0422304522663348,0.010327360401479515,0.05667553023352128,-0.0011378599151368983,0.07081937395724051,-0.0975176932792403,-0.030622525070061454,0.011237738895879819,-0.007901008656016232,-0.01719335466899083,-0.008327823245251493,-0.008803312143923228,-0.02434038620810132,0.00111572604856802,-0.006039386667291961,0.025088652517238796,-0.013737800137133504,0.02133315816413632,0
TCGA-22-1002,0.009119026222735275,-0.013478219215162972,-0.0015472627183883599,-0.08706573644366464,0.06693736237168124,-0.0008454385400889024,-0.0019225997285584244,-0.06159668997280352,-0.0016334139325832487,0.0002214232404787129,-0.020099183558789216,0.016584036181543197,-0.0015173850481051783,0.11263195751615471,-0.0018948705444671785,0.008957777565635362,0.03676181256408976,-0.0008545895883237584,0.030551922022634407,-0.06859721479587846,-0.022654340377165207,0.017985738814282184,-0.09693766843380512,-0.021605035394823367,-0.02522531628381987,-0.010151433121180092,-0.024998930109015584,0.0013602957276051984,-0.012808582187050306,0.05028778083207328,-0.1380061718116081,0.03168069466922122,0
TCGA-66-2791,0.02473510907622603,-0.005436390091948227,-0.0029325556091304955,-0.013047129929103308,0.04410254633905365,-6.771169237876291e-05,-0.002356829013846786,-0.01466780279719172,-0.003820483537638116,0.0002146858759155627,-0.009797918684846424,0.016574843543335667,-0.0006599380787510182,0.023488229717029352,-0.012407759780423359,0.01580533011355269,0.04179673782761884,-0.001194729230759871,0.028066843397869107,-0.089403402184134,-0.029461885773362326,0.01318489027184288,-0.03683737235737071,-0.02333497875705571,-0.026540297345951466,-0.007380560851850852,-0.015471995009122592,0.0014473883867919554,-0.005264616820170569,0.001735036084194413,-0.03798885612838109,0.03114142085194234,0
TCGA-39-5022,0.022420869780495723,-0.007781079660536277,-0.0012173029311175051,-0.024506240776530155,0.04921132541039509,-0.0002136038112701718,-0.0011782599267717863,-0.013669972009733519,-0.002536220334742181,0.002627104990115066,-0.010467625488746985,0.012186337132222332,-0.0008109149902564754,0.04571401406336376,-0.004125704476216667,0.007835997262365777,0.034803071637629225,-0.0008677785298741853,0.026315970282763168,-0.17453856746718552,-0.012790218800714551,0.007712786123438783,-0.04790799118497378,-0.016864234745287664,-0.02107606244016241,-0.0034875820388830556,-0.014981852786413691,0.0011183448844014877,-0.008653237501549664,0.0038677025671324276,-0.022184942449796286,0.031808016598719985,1
TCGA-63-A5MR,0.008221048964707071,-0.003538561529799405,-0.0031984975686364255,-0.010228913616617912,0.07871824119008279,-0.0003122737547699746,-0.001513289673004072,-0.01958274758726783,-0.004747307941701064,7.209471861005955e-05,-0.014820805000994324,0.02145666974580688,-0.001867763106444131,0.004315445382980576,-0.010687022247687096,0.010360992112699398,0.037057876792696655,-0.001765580129009008,0.04815957678281531,-0.09225393799831534,-0.31185804801107425,0.013999387208224502,-0.0882603749621146,-0.022291657777688552,-0.04628101842933367,-0.00862621246964783,-0.026117071421108966,0.0023562402541286156,-0.0051058265346412435,0.130369351035077,-0.016646693445923892,0.020182405906382435,1
TCGA-85-8070,0.04857815163080582,-0.0034673323162937035,-0.005537236025283317,-0.007539517175726494,0.11280969758340728,-2.700072199763074e-05,-0.0029444609137046084,-0.006491304031332087,-0.0028820020592233344,3.061320759533565e-05,-0.01831479752339925,0.05389283828373556,-5.121128624917207e-05,0.004791675044517562,-0.0,0.015258862669196255,0.028819190329258917,-0.001255471169510826,0.10737167760606131,-0.15971612976576646,-0.018038141470665008,0.0034325020500261443,-0.051510699802072915,-0.06660882265106678,-0.02376824867347203,-0.009113978271080004,-0.007463972623105772,0.0032546740651652624,-0.0006270365371001373,0.004870794318766377,-0.0017407649934880545,0.04190005249911353,1
TCGA-22-5491,0.10906027833194949,-0.0023379947391481437,-0.003079975472439749,-0.011364611233111404,0.11387420285658635,-3.283403329657583e-05,-0.003850450635796429,-0.0027453254090260837,-0.0032004363189089375,0.1557384849385249,-0.014571432946837515,0.00497207280527565,-0.00014578869540520761,0.007245096780483709,-0.010538464608659126,0.022728187062303912,0.04586123034182533,-0.0018329729129141466,0.07973138050435571,-0.13259572901621594,-0.054879689504249436,0.012648176933713553,-0.036498316435410565,-0.039128344767972036,-0.029747016533462567,-0.013673810579123528,-0.028099633694079917,0.002223521934877821,-0.002459410635531005,0.01732910540345185,-0.00421066631211737,0.04388489428678755,1
TCGA-66-2769,0.006095663896453441,-0.006220642214146984,-0.0017413963874687451,-0.02922175901436546,0.08784271553354074,-0.00013935340034643286,-0.0027412562114675068,-0.03263688005063356,-0.00343269205809798,0.000258872168324252,-0.018501070922138887,0.02136459569082865,-0.001313198387035236,0.025566767741603595,-0.0005755781722268007,0.022852141509665233,0.030080311583292323,-0.001539939701545381,0.06458889675530706,-0.17154871044248451,-0.02162461751828636,0.010824360088697978,-0.034873134721904904,-0.038835697535985966,-0.044246213848508846,-0.0012369646166397,-0.04476687260908424,0.0022356749699175065,-0.009745854498865242,0.0046863181056790515,-0.10571249365372547,0.033812325552436996,0
TCGA-22-1012,0.043291679945188656,-0.004640997207801231,-0.0034361054202117713,-0.019023986462703417,0.13075948611624455,-6.519083384008028e-05,-0.0024070630166439164,-0.008379575745714872,-0.007550446808633703,0.0004392564983799808,-0.02042395604990701,0.019774269280926078,-0.0004638027997800134,0.010974684395319827,-0.01386939233039668,0.010660848280539653,0.027100759320838507,-0.002631742863525182,0.05987567362129301,-0.09686593783358334,-0.06789160222264295,0.013967884892069638,-0.08992626254195728,-0.029225406069785034,-0.0484257359376867,-0.01085982165804641,-0.015662865148874106,0.0023942303709657,-0.007626780598781005,0.008102708108422469,-0.028375328033196343,0.011324988147771498,0
TCGA-58-8387,0.014497837664137711,-0.0031465368340753484,-0.0034505231293216823,-0.012689057748131633,0.06029197655423739,-2.341832721010425e-05,-0.002269927689793537,-0.003181837656233566,-0.002618468349164887,1.7384367686668518e-05,-0.0044865682139564305,0.011201155819423039,-0.00022851781917501961,0.004412327352761528,-2.3591076544958124e-05,0.016854592704267833,0.027683923873041624,-0.0005883689289516689,0.09542710083239904,-0.1490726863467099,-0.01906928614549345,0.011554530277875102,-0.0234923731097546,-0.035326455705380226,-0.006906740005926997,-0.0032359265581841405,-0.004749676274109399,0.0026868569466026978,-0.0026671242510480937,0.010962595493144886,-0.007755407307053737,0.01337389547455032,0
TCGA-63-A5MI,0.009907303520220009,-0.00255204540914896,-0.003075219322559959,-0.006955246712647713,0.12861243918519247,-1.3455775813387193e-05,-0.002473318797507576,-0.007371143651511685,-0.002076145504065167,0.0028816986860524993,-0.00951633888816185,0.0044629704724168965,-8.006155581925713e-05,0.008763269310566537,-0.0,0.00909736724876304,0.05481597501422055,-0.0007814548097786965,0.05064566947984856,-0.02196276438934394,-0.009617491194424973,0.013040305916099868,-0.18420344344122908,-0.05362036019157518,-0.022823944740384277,-0.012041511208063132,-0.009871619185353484,0.0016599755332129104,-0.0023415160128397484,0.003064906772931029,-0.03490361345139794,0.010453059016374156,1
TCGA-98-A53D,0.0034741903103238853,-0.023680045478459522,-0.0021578939187388395,-0.12862734271087686,0.054787006599231206,-0.00025630890517403584,-0.001437045286461591,-0.09779574676906054,-0.0013885916458059675,0.0009839257043593222,-0.016593670482786555,0.03894874660748016,-0.005156231836614256,0.17167858931864985,-0.0003778099884807499,0.01164501723663567,0.040604139046877444,-0.0005527852472634964,0.033465875872246385,-0.13581763519339546,-0.12933909707989646,0.0240573974143066,-0.06798771615648226,-0.010858659259471274,-0.02226313838925413,-0.0031047138931406975,-0.04113388446298812,0.0013111629679189855,-0.015517674476095332,0.07428513340231246,-0.5135704991033986,0.03665091442400611,0
TCGA-63-A5MY,0.05187088646758568,-0.0012400427110036067,-0.0034647147449719997,-0.006376508544870578,0.11180926988368366,-2.0286425114004473e-05,-0.0028132041790903312,-0.004824214125856042,-0.004236872019115993,0.015327037191653146,-0.005493823485647434,0.011109727833395141,-0.00016793906803245918,0.0037770485634283776,-1.1949872418100283e-05,0.009735242323171236,0.054583050987233796,-0.0018781257944495038,0.04289117486359847,-0.004176242711384498,-0.02339576270964951,0.025940376892268014,-0.06812408080871128,-0.08432478080247702,-0.017410283935473725,-0.016862641060078384,-0.004214597128308194,0.0025048188978958486,-0.0007008001956265799,0.00024261939668790354,-0.002292668056997237,0.03625381279491893,1
