,LSM1,RPL36AL,COLCA2,XAGE2,ADAM8,RPS21,RBM38,FASN,UPP1,MFSD1,LAMB3,SOD1,TRIB1,LMO4,COL5A1,KLK7,ELN,RPS27A,MT-ND3,SERPINA1,RPL32,PHPT1,DBI,EIF3D,AGPAT2,class
TCGA-63-A5MW,0.0010913031731142864,0.06199471116879915,0.0004844635445673752,-1.0276923931633824e-06,-0.006341808090177801,0.019077903772569536,0.00046487986136517376,-0.0791359966039462,-0.012518383290114394,0.040709299835699854,-0.011162237206697085,0.03447183547060819,-0.020342842252273525,0.008759129553607886,0.04298466536647457,-0.0005779272768245185,-0.0350178461826001,0.13732126091281374,0.06781597781774602,-0.0030836054266867525,-0.06871850878445997,-0.06907740641887325,-0.0005170264586615106,0.13867486130195328,0.014496850688638515,1
TCGA-18-3421,0.002563362198639003,0.15158121576451092,0.0005693934123152826,-8.640969910340718e-07,-0.0027722001423724726,0.04216559423548597,0.00040373666817399034,-0.010238913674984921,-0.0177839026507782,0.012727301907484214,-0.004815289810432646,0.03819118158089554,-0.02689118288549787,0.010431660384927077,0.0020702105620665477,-7.113955186208076e-05,-0.0004987175881143206,0.15748229131822908,0.023136774784086607,-0.029456416412695693,-0.16269151690041334,-0.11265569247484335,-0.0019859534914207595,0.1088019948546037,0.008021593888217843,1
TCGA-58-8392,0.0024203182034026947,0.08267370449955429,0.0018304959535010363,-1.0198606983805964e-06,-0.0034857980523372483,0.005790948906598566,0.0004326408493512666,-0.0652854124183457,-0.06383101175525818,0.02164964534393708,-0.02621681143518337,0.03299886026308302,-0.01793167154431526,0.011704025407108192,0.005688097840123163,-0.002644144326386211,-0.00850263758060888,0.09175304731322327,0.03220665866806235,-0.024063239512401982,-0.03821010241555463,-0.05983063453089272,-0.0025848176806727275,0.10275596315253156,0.02251885573312533,0
TCGA-85-A4JC,0.0016011816823585329,0.05763861148273738,0.0005064269426757001,-1.6414362076410574e-05,-0.01785064073578255,0.019101422012023833,0.0012070005094775643,-0.05710119167768087,-0.1295076593897617,0.04409410308621579,-0.00892633656509622,0.020746608098442452,-0.02273858630899076,0.0026100439762154573,0.015991417202663817,-0.00914982371135154,-0.0053693271133347376,0.14360928660918176,0.021348534003043946,-0.014423368890468734,-0.054220023636167416,-0.07016301991664868,-0.0013355953514862717,0.10821535296415592,0.01720952991248892,0
TCGA-56-7222,0.0018090492820946914,0.08632254168658181,0.0005534665994064471,-2.5296374148399266e-06,-0.014149248952344654,0.02142853485420747,0.0013064581600369832,-0.09579708342949037,-0.039414966398300375,0.010538816509950288,-0.060890909602792254,0.024716293883557353,-0.11076047891451342,0.0019468938845594258,0.006476213169664614,-0.0002661439722022405,-0.010883779623962912,0.13506174109222596,0.043585603087870614,-0.04763261224671988,-0.04719508609876699,-0.06551427046191918,-0.0007846900458978172,0.12088122289620805,0.011849112515481932,0
TCGA-63-7020,0.0016565288378615462,0.09680813177466509,0.002155423426556058,-9.304053401949945e-06,-0.013772509022233653,0.017030875802263146,0.0010969788589864533,-0.06303837318083355,-0.04818212801502495,0.01969116141545211,-0.023653334734974277,0.020156647442310004,-0.050833544025090605,0.005204711235238647,0.013774677212208458,-0.00043774599736889794,-0.013555342963643345,0.05420338955646058,0.015546659184330028,-0.07975842475953868,-0.03631568521952745,-0.04939228398774705,-0.0008810204619760207,0.09859948605565977,0.01967324319557543,1
TCGA-77-8139,0.0028873766911055154,0.07682289221479986,0.0010448178404024824,-0.0,-0.011693272215562434,0.011321134613384935,0.001158227567224924,-0.04807119022325665,-0.015912350413542203,0.019381759953073792,-0.0215649818453578,0.03320212843770507,-0.015404577736838418,0.018383172937699446,0.03276624595306029,-0.0,-0.006649738343263801,0.05025253667948532,0.013786221156983268,-0.0035483367028397946,-0.0255636406075277,-0.03260320495888695,-0.000606892898649857,0.06818518945962974,0.0172200252172495,1
TCGA-43-2576,0.0033674040409096156,0.08813267195027848,0.0002501321334618705,-2.6545964560408254e-05,-0.014255774219480979,0.01458996579536258,0.0004247633180577431,-0.02745755456455639,-0.058008828584470144,0.012320367709113874,-0.0018125959838781473,0.014441806714897502,-0.02275460820079414,0.0017617370002994345,0.02589070820800806,-3.0348524418227114e-05,-0.0041518026083342775,0.05671395604884577,0.0653572605254528,-0.00830460729131685,-0.03893385521271504,-0.07312995226000084,-0.0007796780295442426,0.06046044043766894,0.031003476499615667,1
TCGA-56-7579,0.008120944082171606,0.0779074557183394,0.0002512511871150396,-0.0,-0.0032581819362315226,0.01700882483062881,0.00037003294070103005,-0.10419143172584276,-0.09502413582798871,0.01741123676978632,-0.004116905013313873,0.03260781050179983,-0.017063711597641727,0.009505409359795079,0.010620294631050329,-0.03276559092212303,-0.0006762383159177486,0.09667684323322875,0.052642272989229945,-0.006071772653030282,-0.03387031289300175,-0.08259288938651399,-0.0021792627716147295,0.09181167736013293,0.013577483631415208,1
TCGA-56-1622,0.004474650839065922,0.0991367692147504,0.0007082979171797731,-1.0311731464001762e-06,-0.004166796802961335,0.011388182176131793,0.0005895681034292108,-0.06083749066761354,-0.009426708478192904,0.016687625853834927,-0.019949494058666604,0.07072032493802909,-0.4274764245558587,0.010498437756071703,0.01193667447042123,-4.246928685868648e-05,-0.003566299634801089,0.07934498752179332,0.009728579498597715,-0.01297347137400079,-0.03414934754344712,-0.04770899385941209,-0.0010264592832388722,0.14269874745822805,0.02141167682019669,0
