,ARSI,CCL26,EIF3D,GSTO1,GSTP1,HSP90AB1,INPP1,LMO4,POMP,PPP1R14B,PSMC3,RNASE7,RNF181,ROMO1,RPL12,RPS4X,S100A10,SBDS,SERPINE1,SPINK5,SPINK7,STIP1,TCEAL8,TMED10,TOMM34,TUBB6,ZMAT2,class
GSM1607684,-0.009969322,-0.089341161,0.006763727,0.027952714,0.001322048,0.002858274,0.00772271,0.037193994,-0.0533763,0.024667149,-0.025298586,-0.134495646,-0.06873309,0.025767624,-0.011433236,-0.00207762,-0.007515786,-0.02796184,0.00073893,-0.001629068,0.046740307,-0.01357106,-0.161081741,0.003068811,-0.038566777,-0.004177134,-0.053153714,1
GSM1607685,-0.010028766,-0.089687253,0.006863137,0.025008738,0.001352673,0.00273053,0.008324526,0.037635552,-0.052273748,0.024231684,-0.025330154,-0.113005297,-0.067923129,0.024699129,-0.011590177,-0.001996435,-0.007701667,-0.027331746,0.000782983,-0.001439535,0.041981651,-0.013289959,-0.159603456,0.003496383,-0.039630468,-0.003976585,-0.051824592,1
GSM1607686,-0.009990781,-0.090364953,0.006589793,0.025920015,0.001312934,0.003045908,0.00645445,0.032927573,-0.050979138,0.025125303,-0.023863434,-0.1294273,-0.064158313,0.025454945,-0.011025759,-0.001914136,-0.008033294,-0.027512387,0.000759939,-0.001757293,0.054355437,-0.013979318,-0.147839322,0.003946932,-0.042480739,-0.004258749,-0.049992019,1
GSM1607687,-0.009889961,-0.094222278,0.006380127,0.02666056,0.001431738,0.002861275,0.007457208,0.040029088,-0.051871,0.024003742,-0.023995569,-0.121683224,-0.064502072,0.026355872,-0.010613945,-0.001845738,-0.008136051,-0.028184267,0.000801024,-0.001794826,0.042845721,-0.013462016,-0.162126199,0.003496181,-0.036772342,-0.004237135,-0.051451758,1
GSM1607688,-0.010223547,-0.090449586,0.006426441,0.026296045,0.0014329,0.002921859,0.007666643,0.038629161,-0.050843057,0.022992384,-0.02334084,-0.13142556,-0.064458333,0.024254194,-0.010655859,-0.001922518,-0.008118454,-0.028822125,0.000752712,-0.00149398,0.045157257,-0.012507155,-0.161865878,0.003725785,-0.037096945,-0.004521847,-0.051102396,1
GSM1607689,-0.009912944,-0.089571132,0.006774307,0.025986304,0.001367194,0.003017141,0.007136068,0.035223095,-0.051464628,0.025629072,-0.024369663,-0.165195598,-0.065924728,0.024581838,-0.010842271,-0.001943504,-0.008377535,-0.028844454,0.000755101,-0.002144571,0.063700327,-0.013876717,-0.157481035,0.003501952,-0.038816169,-0.004617342,-0.052502055,1
GSM1607690,-0.010085139,-0.091491467,0.006588693,0.025915733,0.001342196,0.003034726,0.007494999,0.035895556,-0.050490248,0.025169941,-0.023650482,-0.12296187,-0.062208805,0.024167728,-0.0110749,-0.001852928,-0.007900508,-0.028508563,0.000736169,-0.001678834,0.045011105,-0.0137182,-0.149429622,0.003393853,-0.03897251,-0.00444136,-0.049250053,1
GSM1607691,-0.010106393,-0.092239818,0.006281974,0.02922659,0.001424234,0.002981783,0.00682798,0.040644543,-0.048721289,0.024285529,-0.024092385,-0.150687598,-0.064245564,0.026404518,-0.010972765,-0.001885412,-0.007975891,-0.029232187,0.000819579,-0.001641519,0.047353599,-0.013178158,-0.167000216,0.003556297,-0.039616992,-0.004723518,-0.04984137,1
GSM1607692,-0.010105673,-0.093953405,0.006461328,0.027482434,0.001434141,0.003103297,0.006438409,0.032812207,-0.051412473,0.024822223,-0.025815614,-0.147678678,-0.066371038,0.026169035,-0.011454558,-0.001901012,-0.008572481,-0.027987254,0.000973337,-0.001629877,0.050373664,-0.014813514,-0.161315966,0.003436432,-0.041314985,-0.004719106,-0.053715436,1
GSM1607693,-0.010347315,-0.089101728,0.00656815,0.027111968,0.001400672,0.003133137,0.007218994,0.032713669,-0.051847248,0.026743478,-0.024801092,-0.121571046,-0.064924093,0.024644646,-0.011402412,-0.001853704,-0.008547636,-0.030401751,0.001056456,-0.001319682,0.042750307,-0.014215012,-0.162777388,0.00356195,-0.03923266,-0.004854973,-0.052659168,1
