,ALDH3A1,BANF1,BTG1,CDC42EP4,CHGB,CTNNAL1,CXCL13,F3,FTH1,G6PD,GSTO1,GSTP1,HK1,KIAA1522,LAMC2,LMO4,MME,MT2A,NDUFA4,PGK1,PRPF19,PSMA7,PSMC3,PSMD2,RAN,RNASE7,ROMO1,RPL12,RPL36AL,RPS21,S100A10,SERPINE1,SOD1,SPP1,TCEAL8,TMBIM6,TMSB10,TNFRSF12A,TPI1,TRMT112,class
GSM1607862,0.001334749,0.010799717,0.024321681,0.007783081,-0.004817255,0.026434478,0.027576526,-0.002358043,-0.038995433,-0.005471277,0.018301896,0.002042518,-0.003537455,0.010356452,0.000672013,0.005895146,-0.003603621,-0.003378281,-0.003363127,-0.009177978,0.001197085,-0.028507584,-0.034566301,-0.000178248,0.011426646,-0.1072158,0.076438859,-0.014591703,-0.000336438,0.015039437,-0.006885301,0.002246965,-0.014948281,0.003634062,-0.124753768,-0.00467688,-0.000158329,-0.022380641,-0.000110893,0.013828404,0
GSM1607865,0.00138732,0.010629281,0.025998391,0.007888144,-0.003812889,0.031278928,0.025149447,-0.002731758,-0.041381719,-0.005226599,0.017549322,0.002049422,-0.003840817,0.011921633,0.000755731,0.005801378,-0.003861852,-0.003235408,-0.003357939,-0.010093295,0.001139768,-0.029439744,-0.030867365,-0.000174028,0.012860206,-0.094456414,0.072311681,-0.014383057,-0.000388322,0.01653958,-0.007432174,0.002347199,-0.015391363,0.004226835,-0.120521188,-0.004755534,-0.000152384,-0.021845556,-0.000113406,0.013562097,0
GSM1607867,0.002143156,0.009965333,0.025097037,0.008152945,-0.003874492,0.026567219,0.029724664,-0.002280716,-0.036038305,-0.005162287,0.017350335,0.00197925,-0.003596071,0.012089189,0.00052729,0.007033056,-0.003382352,-0.00278353,-0.003347137,-0.00938007,0.001153604,-0.028380252,-0.030713845,-0.000158111,0.013003146,-0.118870309,0.070974315,-0.014536941,-0.000363328,0.014349729,-0.006945421,0.001799023,-0.01682014,0.003693537,-0.122703146,-0.004939159,-0.000147822,-0.017631394,-0.000106676,0.013118135,0
GSM1607871,0.001796996,0.010009839,0.02606531,0.008028104,-0.003871899,0.026427078,0.038342726,-0.002047088,-0.038633935,-0.004664912,0.017739105,0.001880844,-0.003624395,0.010297255,0.000509465,0.007145838,-0.003231153,-0.002715234,-0.003318604,-0.009207642,0.001189154,-0.02936319,-0.033138085,-0.000158074,0.01211834,-0.08423257,0.070957137,-0.014722224,-0.000376021,0.014597768,-0.006378916,0.001764754,-0.015687878,0.004195955,-0.128044454,-0.004771447,-0.000154763,-0.016780488,-0.00010145,0.013526945,0
GSM1607872,0.001577392,0.010324464,0.024191738,0.007825775,-0.00381445,0.028742892,0.028112136,-0.002428965,-0.038731458,-0.005106644,0.018661469,0.00207741,-0.003730037,0.010835509,0.000675287,0.005931212,-0.003678163,-0.003347473,-0.003257523,-0.009630722,0.001296081,-0.028889829,-0.033374263,-0.000170676,0.012028992,-0.118565609,0.074222925,-0.014606387,-0.00036171,0.015307244,-0.00703349,0.002366791,-0.015718199,0.004722595,-0.120148997,-0.004828507,-0.00015921,-0.020511424,-0.000104891,0.01390074,0
GSM1607877,0.002054697,0.009798449,0.027068554,0.007733546,-0.005196713,0.026461333,0.035728106,-0.002339344,-0.041270833,-0.004953232,0.017522838,0.001988236,-0.003785374,0.011358906,0.000624641,0.006737667,-0.003399543,-0.002824597,-0.003325692,-0.009990158,0.001142886,-0.029106244,-0.0311539,-0.000159428,0.012609298,-0.096360874,0.069537278,-0.013856924,-0.00037362,0.014120791,-0.007200686,0.002028306,-0.016279948,0.004145561,-0.122341963,-0.004823392,-0.000153558,-0.017676933,-0.000108714,0.013359046,0
GSM1607883,0.001273458,0.010652548,0.02485724,0.00780558,-0.0038853,0.032779484,0.030642668,-0.002861203,-0.042991809,-0.005545942,0.019349624,0.001890071,-0.003606187,0.011361433,0.000805669,0.006057262,-0.00463643,-0.003587877,-0.003229038,-0.009371834,0.00116118,-0.029846168,-0.033886455,-0.00018407,0.012377635,-0.102700968,0.079289507,-0.014200475,-0.000384136,0.014827487,-0.007461499,0.00264037,-0.01589946,0.004590438,-0.126875677,-0.005013169,-0.000158051,-0.024482045,-0.000107348,0.014023098,0
GSM1607885,0.001993987,0.009953475,0.024932942,0.007118987,-0.003954373,0.025972461,0.026580083,-0.002269106,-0.037670193,-0.005530604,0.017240238,0.002049764,-0.003774769,0.011231699,0.000586746,0.006353554,-0.004027589,-0.003051803,-0.003358852,-0.009622828,0.001251348,-0.028503196,-0.031865601,-0.000172445,0.013008198,-0.106039063,0.069760923,-0.014038408,-0.000359923,0.015951414,-0.007194331,0.002287592,-0.01610004,0.004463371,-0.116062867,-0.004962807,-0.000150977,-0.020248935,-0.000107769,0.013778756,0
GSM1607890,0.001843087,0.010011096,0.02520011,0.00836371,-0.004002375,0.027669042,0.02741387,-0.002485463,-0.039486883,-0.005160055,0.017685386,0.001990317,-0.003887766,0.011110751,0.00061442,0.005994464,-0.003850293,-0.003216771,-0.003294058,-0.009556307,0.001120898,-0.029454662,-0.032365938,-0.000168328,0.013095662,-0.11048871,0.069797316,-0.01414444,-0.000369431,0.016495514,-0.006835824,0.002293132,-0.01520452,0.004469927,-0.124755555,-0.004954625,-0.000151479,-0.020465256,-0.000107837,0.013859956,0
GSM1607891,0.001937173,0.009790993,0.026277209,0.007281588,-0.003987871,0.026886692,0.039895847,-0.002302482,-0.038374317,-0.004995545,0.017502728,0.001867178,-0.003616401,0.009931219,0.000499669,0.006885705,-0.003545109,-0.002790105,-0.003344604,-0.009265719,0.001182743,-0.029291008,-0.03194884,-0.000157108,0.012089732,-0.104421091,0.070705521,-0.014024208,-0.000382349,0.014531734,-0.006683259,0.001744688,-0.015513,0.004162157,-0.118040776,-0.004755459,-0.000150813,-0.016861306,-0.000102616,0.013473851,0
GSM1607892,0.00208283,0.010350562,0.025983698,0.007788643,-0.005342157,0.030046947,0.031075674,-0.002547253,-0.038205842,-0.004933683,0.018748249,0.002054949,-0.003662245,0.011409724,0.000679934,0.006725453,-0.003472637,-0.003213129,-0.003430213,-0.009358152,0.001182199,-0.029615817,-0.032338875,-0.000165686,0.013051451,-0.091825853,0.072781751,-0.014220764,-0.000371256,0.015281658,-0.007122273,0.002095509,-0.016745032,0.003852871,-0.119696739,-0.004767391,-0.000153579,-0.020571278,-0.000105399,0.013109502,0
GSM1607897,0.001933962,0.009775871,0.025932238,0.008080223,-0.004011796,0.025818237,0.031283087,-0.002298451,-0.04086526,-0.005776669,0.018386293,0.002002407,-0.00364268,0.010754177,0.000608516,0.006085291,-0.004561407,-0.003406213,-0.003320062,-0.009292045,0.001264085,-0.028975904,-0.03369258,-0.000161677,0.012910401,-0.097792757,0.074088824,-0.014869059,-0.00038254,0.016672792,-0.007128893,0.002027386,-0.016457651,0.005041892,-0.128512941,-0.004734407,-0.000155034,-0.020869204,-0.000112452,0.01337542,0
