,ALDH3A1,APRT,ARL4D,CALML5,CAMK2N1,CCL19,CDKN2A,CHGB,F2RL1,F3,FTH1,FXYD5,GAPDH,HSP90AA1,HSP90AB1,IL1A,KIAA1522,KLF3,LYPLA2,MME,NQO1,PGK1,PLA2G4A,POLR2L,PSMB3,PSMB7,RAN,RBP1,RNASE7,RPS21,SERPINE1,SOD1,SPINK6,TMBIM6,TNFRSF1A,TOMM22,TPI1,TRMT112,USP14,class
GSM1607847,0.002888729,-0.012675149,-0.037469449,0.004192536,-0.027605513,0.003889462,0.048049197,-0.002936187,0.005365446,-0.003471265,-0.039444072,-0.005209079,-0.003458096,-2.83E-05,0.002571195,-0.004080309,0.014276846,0.000975416,-0.016108969,-0.002765163,-0.003462678,-0.006427772,0.047803573,0.003540958,-0.013655317,-0.022277153,0.000275257,-0.007316999,-0.113163782,-0.004129261,0.001455959,-0.024816822,0.032267183,-0.009242403,0.001360016,0.010344361,0.00577817,0.009028786,-0.003081165,1
GSM1607848,0.002597235,-0.01342237,-0.037227917,0.004318185,-0.026651744,0.003179241,0.065747239,-0.002942576,0.005246569,-0.003255358,-0.039156704,-0.005137181,-0.003740406,-3.02E-05,0.002546698,-0.004310916,0.014556243,0.000990676,-0.01718184,-0.002775535,-0.003444259,-0.006777704,0.044580454,0.003545048,-0.013974425,-0.022806931,0.000264683,-0.006462374,-0.134846111,-0.004333979,0.001507191,-0.024410866,0.044577045,-0.008888892,0.001438761,0.010590418,0.006290122,0.009181263,-0.002913981,1
GSM1607852,0.00284311,-0.011998438,-0.038451195,0.003767997,-0.028429693,0.003545772,0.048869456,-0.002956422,0.005542843,-0.004042022,-0.038244673,-0.005765883,-0.003510665,-2.80E-05,0.002527049,-0.004958048,0.014712888,0.000987533,-0.016491392,-0.002742068,-0.003035778,-0.0063814,0.049804816,0.003694574,-0.013800539,-0.022184841,0.000289521,-0.006972822,-0.127450058,-0.00462307,0.001416398,-0.024898037,0.034605932,-0.009307179,0.001342836,0.010537776,0.006074292,0.00901276,-0.003068906,1
GSM1607853,0.002728155,-0.012832173,-0.037876409,0.003576272,-0.025651456,0.003833754,0.053320256,-0.002938081,0.005438281,-0.003832336,-0.040949937,-0.004794735,-0.00331727,-2.82E-05,0.002569979,-0.004442624,0.015112125,0.000984047,-0.01639716,-0.002787297,-0.003237317,-0.006164455,0.049882159,0.003537984,-0.01359201,-0.02367463,0.000292079,-0.006534135,-0.125249134,-0.004459125,0.001416403,-0.023678019,0.039569702,-0.009430946,0.001354663,0.01007025,0.00570164,0.009248654,-0.002993532,1
GSM1607854,0.001939057,-0.013247607,-0.037847677,0.003498909,-0.030684455,0.003417956,0.057243444,-0.002959562,0.00601269,-0.004589786,-0.038375841,-0.005437365,-0.003432966,-2.87E-05,0.00245771,-0.004993344,0.014246627,0.000974229,-0.016137294,-0.002706522,-0.003325968,-0.006552307,0.052715685,0.003691867,-0.013614029,-0.0234549,0.000292308,-0.006921846,-0.117046584,-0.004326938,0.001672739,-0.024583076,0.042970007,-0.009266084,0.001366042,0.010071615,0.005792392,0.009160224,-0.00302524,1
GSM1607857,0.002235801,-0.011801959,-0.034359469,0.004027316,-0.026217172,0.005624509,0.046909823,-0.002967001,0.004368228,-0.003268219,-0.04354177,-0.005450331,-0.003761198,-2.77E-05,0.002624501,-0.004186437,0.014221361,0.000962197,-0.015716916,-0.003132576,-0.002955649,-0.006607409,0.045717331,0.003528451,-0.013951248,-0.023400354,0.000284784,-0.00538306,-0.08729515,-0.004347613,0.001475,-0.02529984,0.033545611,-0.009513954,0.001447658,0.010151223,0.006337647,0.008840183,-0.003195471,1
GSM1607858,0.002626753,-0.012500533,-0.03705439,0.003937612,-0.027323333,0.003312216,0.046268674,-0.002912971,0.005669736,-0.004089126,-0.036002085,-0.00581453,-0.003648135,-2.82E-05,0.002670125,-0.004445758,0.014479158,0.000965464,-0.016103876,-0.002707625,-0.003367388,-0.00666418,0.048670985,0.003765997,-0.01338782,-0.022391837,0.000290518,-0.00691258,-0.12755576,-0.004330774,0.001469363,-0.025897652,0.049695037,-0.009112022,0.00140417,0.010496943,0.006269158,0.009159156,-0.003019838,1
GSM1607859,0.002556786,-0.012171302,-0.038020758,0.003796938,-0.026493278,0.003621029,0.047218366,-0.002950023,0.005594427,-0.003525535,-0.041138937,-0.005072971,-0.003391834,-2.76E-05,0.002589264,-0.004510596,0.014547995,0.000973792,-0.015827021,-0.003367938,-0.002610443,-0.00636204,0.046391287,0.003648296,-0.013414912,-0.021220552,0.000289858,-0.006985302,-0.109837656,-0.004047547,0.001538634,-0.023987089,0.034088351,-0.009537939,0.00136605,0.010471345,0.005721759,0.009809601,-0.002764204,1
GSM1607860,0.002223088,-0.012110835,-0.038822667,0.003147996,-0.026911492,0.003303346,0.064646212,-0.00287189,0.005412389,-0.004482669,-0.041186308,-0.005675782,-0.003673936,-2.81E-05,0.002452037,-0.005697416,0.015362985,0.000986599,-0.015965429,-0.002886384,-0.003502299,-0.006756946,0.045114451,0.00368855,-0.01289059,-0.021376374,0.000290301,-0.005477423,-0.134244896,-0.0049137,0.001548577,-0.024194624,0.034455182,-0.009085688,0.001326983,0.010632631,0.006165516,0.008894992,-0.00304844,1
GSM1607863,0.002866467,-0.012479291,-0.03969262,0.00322076,-0.024985365,0.003885246,0.047628482,-0.002901479,0.005435824,-0.003774364,-0.038272449,-0.005434579,-0.003341716,-2.76E-05,0.002467235,-0.00450914,0.014626251,0.000984669,-0.016990323,-0.002862365,-0.003281888,-0.006391551,0.047894497,0.003496595,-0.012793045,-0.021115748,0.000291844,-0.005740505,-0.115767365,-0.004240206,0.001275012,-0.025031676,0.03242077,-0.009344769,0.001362724,0.010023905,0.005890544,0.008901476,-0.003071445,1
