,ANXA10,ANXA2,ANXA5,APLP2,CAPG,CCNB1,CYP27A1,CYP2C9,DYNLL1,G6PC,GDI2,IRAK1,ITGA5,NT5DC2,PLOD2,PSMB5,SLC2A2,TAGLN2,TFDP1,TMEM106C,YBX1,class
TCGA-DD-A119,0.004455733224964471,0.05651851339417309,0.006354558572578248,-0.01376377897166256,0.005556296590085192,-0.005976972761742543,0.025715815099910094,0.053939115029450466,-0.019855660163806275,0.0051665837806387374,-0.03562323626917047,-0.003041141514759728,0.002421823511748121,-0.00014194306792627344,-0.007267196985944531,-0.024147426950584402,0.024007119020547512,-0.030276377144498674,-0.0022690620525526515,-0.018033436579929306,-0.1691885371493598,0
TCGA-DD-A1EB,0.07807465763880149,0.0385296794950595,0.014607260731028762,-0.034892725741236315,0.0001574745860990828,-0.0037487768717406438,0.0029982425441702283,0.0006493834244117375,-0.005205560364976712,0.017979569104685802,-0.0522603365102726,-0.006497289474793894,0.004212232781937604,-6.249933440910822e-05,-0.0027347728537301316,-0.01395038621277028,0.18940546307951664,-0.035204018591089174,-0.004823159696300677,-0.01819127464786961,-0.10424414524984407,1
TCGA-DD-AADF,0.005255214757060439,0.02365512741144982,0.012893304298141312,-0.0122911976648779,0.0005744135422598594,-0.019118649571323674,0.026252571852088083,0.0038500560575314845,-0.011637026307467161,0.02431939185295286,-0.039221687943843314,-0.005257047590303735,0.0072781575811301635,-1.767020763679414e-05,-0.0033864853397379707,-0.016899483154437116,0.013353388952561588,-0.018532417629094373,-0.005126110760978014,-0.03014538898525094,-0.09346573467807827,0
TCGA-DD-A4NJ,0.0034846384267619803,0.11420161525979582,0.03696074457791052,-0.03634630513612268,0.00821705995302365,-0.03714419644765315,0.024904705517028322,0.025240461503855983,-0.011488914651434591,0.01069045854283186,-0.05416068044071762,-0.013058969239133708,0.022042840778583355,-0.000580776024507913,-0.021619014337464312,-0.018462349380706938,0.05675522721721966,-0.047020440041478394,-0.017086648177448174,-0.11006211294239435,-0.1731499451346342,1
TCGA-ES-A2HS,0.03762203701517236,0.03870422600211639,0.00449105568979028,-0.01112994134842687,0.002412245197196658,-0.0026576987187113786,0.14042944556810363,0.06785751906033224,-0.011471715578883376,0.0032726456295452968,-0.03450929641704319,-0.006847262725238602,0.005225527104658873,-0.00011286892628560421,-0.003338689966883484,-0.016252386519081428,0.038796284861477015,-0.011325255651890452,-0.0009482549927719539,-0.02661529282721189,-0.07906242842873332,0
TCGA-ED-A8O6,0.00045272286026823763,0.05517902400651517,0.020468889122544957,-0.020038908111408196,0.010930587953552017,-0.02759045789815382,0.03781870684894166,0.016043851825498213,-0.01184942607843766,0.009895248216970607,-0.05801834978072702,-0.010816016803374167,0.013608626221553797,-0.002495056118583251,-0.0227803737404339,-0.021827285699913344,0.031128082767431654,-0.04374975333513872,-0.00497515555275528,-0.03075622096258682,-0.26204772184503144,0
TCGA-DD-AADR,0.021502204399180703,0.07059467026200121,0.00645934593594874,-0.022637282793500368,0.001806811947185959,-0.0257685200957825,0.036446229327707566,0.029389065218878144,-0.011487642271067283,0.006677098241456383,-0.02993433666012612,-0.0052326726123881765,0.006529020908536428,-2.112064818178534e-05,-0.007519933124220529,-0.011343838835601245,0.05416693977637955,-0.025610148813682756,-0.0021046396319175076,-0.045488581326194384,-0.10695801560240817,1
TCGA-DD-AAVV,0.0071548968801714696,0.06454224797923151,0.030184247379753587,-0.017086536199210797,0.010479499461758515,-0.011032254048188837,0.04886467089299559,0.02725796951701673,-0.01738549821261924,0.005117794700227131,-0.04255654641202557,-0.012204636793538568,0.02361733655997421,-0.00023787139514847372,-0.008794646793826294,-0.023111473603285873,0.016361342099508343,-0.0570243400110015,-0.004395881775216052,-0.026633525613406192,-0.17671722394477032,1
TCGA-ZP-A9CV,0.005266541963410976,0.059813632479170965,0.026462107396156582,-0.022460709685112146,0.0011583148873658548,-0.006775467109320623,0.0693484478463117,0.10014423050036812,-0.010192841684182252,0.01094165398383075,-0.048090213754219395,-0.02043447841618851,0.015038456292883652,-0.00012196623318506339,-0.007932455754098296,-0.023304042114632675,0.04481601984344476,-0.05520235564658814,-0.00522905331646378,-0.05173442071202976,-0.12950036664092424,1
TCGA-DD-A39V,0.003542857831445385,0.10041102356569578,0.005155346903976373,-0.010467123538641276,0.0015646845294752362,-0.012241655431613277,0.10572883753018716,0.024482904467433824,-0.01993644534833415,0.000292362776371591,-0.03636750918986126,-0.012908584825591018,0.0024936054818914723,-0.0003071272089507475,-0.0045794101360098535,-0.02579083340022404,0.038374280449354585,-0.0264282629854295,-0.0019719671847879833,-0.03277777272192279,-0.2007082749549141,0
TCGA-G3-AAV1,0.0013385591160473317,0.06136922284688561,0.006649304842870907,-0.023374965461551916,0.003266360478283285,-0.012421014853099498,0.08395480917551523,0.054587563131643285,-0.012385613746499578,0.006641255153430879,-0.050538561066166214,-0.007897215730294298,0.007811914956330985,-0.0003941026309703054,-0.007466131380980587,-0.01959898298006433,0.10256987452940446,-0.02510127554645711,-0.00324259867589881,-0.05203704459506278,-0.24394261464532782,0
TCGA-2Y-A9H9,0.04268992657473682,0.03763010046655765,0.009708018866399411,-0.025620437073533002,0.0021663980364011797,-0.007196796787134618,0.03675696391188644,0.06159143577652013,-0.00812600237183974,0.021304030564298193,-0.03717874114942414,-0.013353031899034497,0.009146859279220187,-4.0918880824300925e-05,-0.004680283079788307,-0.017835691144835686,0.051992810766189564,-0.022315134451260068,-0.003544366258273239,-0.023681765359891794,-0.12210669868286946,1
TCGA-G3-A25V,0.01805617591234475,0.09765212552674274,0.021432161262469808,-0.025239657238237796,0.005838669333858282,-0.006079999452847086,0.06073886534509605,0.05047876457182217,-0.00921081632293365,0.010275223890679799,-0.06806157579880097,-0.006924688473642499,0.0070678197151287135,-0.00019798232642515584,-0.012485625293246861,-0.01702222295396872,0.04725244227751795,-0.022797687876392744,-0.0024694582542227617,-0.03718432093071132,-0.18970262544474156,1
TCGA-G3-A25T,0.04687234527227543,0.2598205385623781,0.03532822382667878,-0.021904317170756908,0.011738722621881722,-0.038705643183869314,0.006754060620477297,0.004814229369504639,-0.023451176737100798,0.0007607761809502316,-0.05537137941881899,-0.014824752939418515,0.012084945397631865,-0.0005021987011716487,-0.00391436435971373,-0.02539584019558928,0.004445484064826511,-0.07134429564656888,-0.006429349230020705,-0.08118218696647381,-0.3210285196156278,1
TCGA-GJ-A3OU,0.012692561008488847,0.14621619132495306,0.044291431948655015,-0.03540440358383089,0.06890625787453616,-0.023193452682454825,0.06692349067761827,0.010702262607218467,-0.01935228016538765,0.00417440108333777,-0.058312770663530016,-0.00948049192199354,0.020381939537317623,-0.00036420007959526605,-0.01333878547821091,-0.018952294118129005,0.018088495352697687,-0.06206341361583304,-0.004723053417368434,-0.04578878314168868,-0.22536407229489624,1
TCGA-DD-AAEH,0.05509321752857486,0.017207538924886343,0.003238635982686603,-0.015541776804812474,0.0005515379416152892,-0.0063569118038289485,0.0723591533440945,0.05395726387789052,-0.01149512299012336,0.021453176751123133,-0.03322292046580072,-0.01039222029102968,0.00639290226096692,-0.00012655668712597678,-0.006973566411001591,-0.012182579032838016,0.046713804333124456,-0.009910420472133249,-0.004079116615382349,-0.02124018672154845,-0.14434035245314553,1
TCGA-DD-AAVY,0.025640045058823654,0.039279520657101365,0.006729264502796613,-0.03089239170131481,0.0011008309281529951,-0.002741004871416726,0.12814130900855789,0.12335718323810728,-0.012865761834418536,0.007402749966170658,-0.06048535943865652,-0.03821593058671022,0.0063656251123124456,-0.00016693596160954118,-0.006164878925912839,-0.016060036812984582,0.07518085458630566,-0.033961859964871145,-0.0036922607364022436,-0.025319217575378163,-0.19906313126713368,1
TCGA-DD-A4NE,0.05840794786007878,0.03748948863574584,0.025494447908882535,-0.027031599532646406,0.01251514934805724,-0.06750325297437541,0.004395016530527824,0.015703574407471423,-0.015862546663320123,0.046755409088112834,-0.05682409222999226,-0.008027769841203548,0.011634521881723045,-0.0005143094434809955,-0.03304048971156862,-0.012754277368197836,0.12549166421383642,-0.06043882423598999,-0.011383263315925502,-0.045655098469481785,-0.15252443111572042,0
TCGA-NI-A4U2,0.013552210711952183,0.028820197781440442,0.016124234429451243,-0.01666216016681561,0.0009651504314932234,-0.0034915850591579773,0.027548320381131617,0.0005600061916083162,-0.007991799149477414,0.013219100786593822,-0.031487918954115145,-0.008913737660591777,0.002849343571136782,-5.8273684754889925e-05,-0.007030435236991556,-0.011043926457765132,0.08904108262565903,-0.01942087895375393,-0.0019728649989488108,-0.012139469783747709,-0.12728211724436786,1
TCGA-ED-A4XI,0.023795902786205574,0.03562006896448016,0.015695343232551204,-0.029886226485366988,0.002654077657305946,-0.0037837189663947318,0.06792763966237295,0.1357840541082408,-0.009182999455593165,0.016233945226769308,-0.038422687610688254,-0.006166026985022885,0.012192384644106892,-0.000215139528033785,-0.00911847961418263,-0.011382020351718399,0.08997567858695077,-0.019287364179818,-0.004180426781484793,-0.015315944081132783,-0.13971047290953437,1
TCGA-2Y-A9H3,0.04155732773760087,0.015639810043736775,0.012035165623233993,-0.010523022957008741,0.01102872690216257,-0.0048162353685123165,0.005161855352260544,0.0136803825131342,-0.012425079475478709,0.01055650982532973,-0.025918584321908255,-0.004649158475311869,0.009491579670722563,-0.0003002909286198674,-0.001160805624139723,-0.014648593765376831,0.015207190680718623,-0.01054379770272675,-0.0021989917382735395,-0.0130805775818504,-0.10776258217522246,1
TCGA-DD-AACI,0.04996966632059969,0.04755568316023344,0.02367620290617473,-0.005934906168233352,0.010632844641437517,-0.00681003428879602,0.03566650792429451,0.013422593320029222,-0.026779723777982028,0.005591617313546806,-0.04012490571175774,-0.011264797945196447,0.00792015548991459,-0.00010688005591235957,-0.0030920453957359977,-0.021924584416291082,0.0014625588443551276,-0.07402060599458672,-0.0009195249396254806,-0.07144332251187266,-0.10696430709942781,1
TCGA-2Y-A9H2,0.018291611287351073,0.22691231982200466,0.03956830492506635,-0.024187731819868243,0.014244731563267657,-0.01165356348231711,0.007844327775438737,0.010414363233450795,-0.006140463777449788,0.0069967407053662,-0.03644799262866397,-0.02476464502499109,0.032717587639045496,-0.00039319822034287387,-0.001371624964832108,-0.022749619448326125,0.012189977012370654,-0.10843610203843077,-0.008723917366687768,-0.04182358946217909,-0.2889225964101252,1
