,H2AZ1,NUDC,HSP90AB1,MARCKSL1,HTATIP2,ZWINT,RTL8C,SPP2,TPI1,SRM,FAM50A,ADH1C,NPM1,S100A16,LAPTM4B,H2AX,CDC20,GSR,PPIA,RPN2,TIMM23,BRK1,LAGE3,class
TCGA-DD-AACC,-0.021579872776601634,-0.02630084221354336,0.029467216568893714,-0.012539691845580824,-0.1010362242115018,-0.025795248712589425,0.005034315894778913,0.017056126114743594,0.028323858729446243,-0.02595262440802847,-0.004375007269119234,0.008650184761152944,-0.023174127383103316,0.012355040021300202,-0.001295479291865046,-0.018203413682555993,-0.010039284165192409,-0.01478624664626098,-0.04839910408168583,0.029372713937871508,-0.05033012865372163,0.0293294514055172,-0.000643143057418259,1
TCGA-DD-AAVX,-0.01177743724272541,-0.03476041098112099,0.04001537697476768,-0.009919420839281452,-0.18643603748358428,-0.003378527993724245,0.004176139877113803,0.0007626842961472582,0.04559392133699411,-0.036320950436334876,-0.004238166095871812,0.04258358269037803,-0.02939838813132144,0.0013470560118581348,-0.0010402506221165763,-0.004198614686717489,-0.0009971444884986998,-0.017931688281011642,-0.03618462748285188,0.012538426620980928,-0.069250428452176,0.020618939201419616,-0.000663259974670494,1
TCGA-CC-A7IL,-0.017821118287979765,-0.0597523971178268,0.08492499768467571,-0.0015287172719759513,-0.16754377822730557,-0.021978404228290165,0.0048292194439006975,0.006317602036544522,0.030974085478569943,-0.02572065063060295,-0.004941194770748766,0.09247378751859375,-0.021720857836549434,0.007576532848115537,-0.00182088378859003,-0.008171260116793491,-0.0033383177550644857,-0.01219637664321299,-0.0757851953083957,0.03606229781846058,-0.05592745398998945,0.029652595533397913,-0.0008087383801942148,0
TCGA-DD-AACG,-0.04307786079722312,-0.06007137611906376,0.02586735042362941,-0.024324527869235404,-0.16106638926727132,-0.02560763891087133,0.007556652082796181,0.009170885159651955,0.04689931358868463,-0.03884690200541849,-0.010121451200273628,0.06722724806742605,-0.026625080216778736,0.004887600584235282,-0.006114326470329958,-0.0315942560787585,-0.0291228200643701,-0.013217977433773741,-0.07957489005891237,0.029859484035397406,-0.04678832960608517,0.06038064845162584,-0.0013377256330283098,0
TCGA-G3-A25S,-0.04339045544619545,-0.18539457810388488,0.16963996302717035,-0.030127108066690736,-0.3144061645367317,-0.03210364445747293,0.02239210322230893,0.0006479230478945581,0.05580022608234949,-0.06760928423793744,-0.030056935911844634,0.07167089191590299,-0.026170225512607538,0.025917009577891018,-0.0020724099846413644,-0.015167017190233105,-0.010565101948503084,-0.0237261467200623,-0.09487890179004341,0.04334346359291493,-0.08679376638488852,0.04586295244873936,-0.0061168658064539826,0
TCGA-DD-A4ND,-0.016176064935831503,-0.038052445487819414,0.028880186963934833,-0.021969125432810977,-0.04722576493166868,-0.023602631884515345,0.004499944052813621,0.006520225234525539,0.02077920887108359,-0.026425947346493703,-0.004402028743550758,0.028548804703333,-0.017835213770575693,0.00627935720858038,-0.0011625586800531609,-0.0065578009429514885,-0.010083552886023835,-0.019004723538241206,-0.05828600632774628,0.04220823837670049,-0.04262511503990292,0.022286467797024947,-0.0003403092089471629,1
TCGA-CC-5260,-0.08098633532149205,-0.042087883447459014,0.07851786327521418,-0.1532085614732434,-0.12856550292311114,-0.04077636331346403,0.01822193579450819,2.430804489379107e-06,0.0789402162991837,-0.041058688934058805,-0.01010062714250353,0.0015990378682372466,-0.04591379423724782,0.008939518083760463,-0.007314986313853736,-0.05906269463836635,-0.020855678690247167,-0.18070362861818595,-0.13811290250671446,0.04208094390707701,-0.09763841584386077,0.05651335830178957,-0.00103824262952944,0
TCGA-DD-AACZ,-0.042906212115900136,-0.08533447579661088,0.12134249964497151,-0.06319056011034763,-0.2451002813268545,-0.04244713785364408,0.008039319174443697,0.0001902926814787869,0.07359630890797708,-0.08934298601957799,-0.017566356190508173,0.0005001468985181158,-0.06851616953405194,0.009135868026251902,-0.011040982458516528,-0.010891103072101003,-0.020413244928807896,-0.04600730816428344,-0.14137933157840554,0.051030957628204844,-0.10670669163622158,0.0392342442797997,-0.0019126729728238324,0
TCGA-CC-A7IF,-0.03297240282839373,-0.030086977798587253,0.015211919689952978,-0.005442103943145832,-0.0955015450148654,-0.03767103966917489,0.005613763491902452,0.003637994412190902,0.03094234065115598,-0.028338882761260575,-0.005070455175401407,0.00255787210807702,-0.008595683445340346,0.01229446867666826,-0.0024732199201611916,-0.0174571475967456,-0.005728364027357332,-0.014005542894740031,-0.05878260242850141,0.01664495954186666,-0.05289082374273526,0.016507816643526112,-0.0008791693108449775,0
TCGA-2Y-A9H5,-0.028089792273401002,-0.03216276063394144,0.06178749741021052,-0.01798230715091832,-0.09056186605672899,-0.01764023464369637,0.00538384537224798,0.009883715233471937,0.0290092435996976,-0.015437506659134088,-0.0032531088511687737,0.06322717185001485,-0.01691454595360673,0.01524550198750791,-0.004831934068420737,-0.015647237529940128,-0.005282255286230722,-0.024124806368002467,-0.03907273836865274,0.0319045984672361,-0.04929927018259094,0.022133553395903473,-0.0005103473138017925,0
