,FAM50A,RAMP3,CKS2,SPP2,HSPA8,MTARC2,PRDX1,RAB10,MMP12,PSMA7,SEC61A1,VASP,RPN2,PAEP,H2AZ1,HDGF,CD63,HTATIP2,APEX1,PKM,PPIA,class
TCGA-CC-5264,-0.04073919497495516,0.001107754792379574,-0.2652378083526597,1.3678790782225888e-06,-0.12559431723066572,0.15070276512246947,-0.014902850727885228,-0.09856975355223752,0.0012116865039612623,-0.06952881708508583,-0.2382714325593553,0.03100949467657206,0.2550371901436571,0.000775693797836072,-0.0510942051153455,-0.041015012607225274,0.09924794623468752,-0.09797071030275278,-0.06409719639640062,0.030922281907322657,-0.1451710655353201,0
TCGA-DD-AAD5,-0.015508209542477685,0.006087655915587783,-0.17004499770033524,3.7324939491874356e-07,-0.03819705978833842,0.0751645833764509,-0.01397369755057404,-0.04733287482946145,0.0003807171810168504,-0.0671663123276646,-0.16234951565246813,0.08457155836977553,0.17329027963431645,0.006715066799023107,-0.06148561029504662,-0.05782700103043779,0.11287501625394818,-0.13620388210276252,-0.07764091767302084,0.11039265545115491,-0.19252367218455185,1
TCGA-DD-AACF,-0.02462931269443526,0.012074169538585512,-0.05605168010012655,0.00022106083484227628,-0.13322223003744874,0.2292019269835969,-0.008662522857314128,-0.028006390564795917,5.085739268898847e-05,-0.04946180004735063,-0.14138045683057174,0.013785701123536064,0.11626458007439763,0.0,-0.022226167154427594,-0.022731733865844716,0.03393177260929607,-0.0733305149663638,-0.10211972981391984,0.004069369378895516,-0.10739428540132233,0
TCGA-DD-A1EE,-0.016554328177866656,0.016872754600687163,-0.048833026963733706,5.403106758168571e-06,-0.16486556897558083,0.14070990573141942,-0.012521278499209127,-0.04575193995816763,0.00016839668968643542,-0.0427677729779564,-0.13999157908756016,0.013679067184708635,0.12506128685139162,8.383802579606819e-06,-0.025405689553901985,-0.04710562208513519,0.037254931608975125,-0.1295678262568191,-0.06652200218496876,0.003899545684457002,-0.09669072157592527,0
TCGA-XR-A8TD,-0.011355114994075158,0.04793515613046225,-0.07215947592324924,8.931682511285666e-05,-0.04061255429677541,0.06843084277538382,-0.010783905267914826,-0.02921379320154555,0.041422201805032526,-0.06847037130325148,-0.1683669324405826,0.019057596300127228,0.14534980760669908,6.5049623600734185e-06,-0.04655178970951056,-0.019437872633774146,0.037544894159772794,-0.04403826549617743,-0.04137287103866875,0.015567757243939351,-0.0859170502118774,1
TCGA-BC-A10Z,-0.010825592467563577,0.006048185752625811,-0.0238349441150005,0.00039366952999711626,-0.07204319972067207,0.0631105418642237,-0.009204190640032974,-0.029558673012169818,7.762967964268299e-06,-0.062004718639381166,-0.2524128180994249,0.010601467406852786,0.14568813647297,0.0006003353773462879,-0.014682987653906097,-0.03611579703824214,0.016132787712676303,-0.06645029388312398,-0.039851856129826196,0.006817343617742858,-0.06821502750019126,0
TCGA-CC-A8HV,-0.02398615655635319,0.0009519709929390438,-0.07676405036368243,1.7141390707083363e-06,-0.028695560152840766,0.06562403365611993,-0.006907631459409792,-0.029160287123590714,2.8663266329606026e-05,-0.036912041293935806,-0.20663221291901146,0.03605169972922153,0.10509769618610161,0.05759566322097494,-0.02510109382177402,-0.036267163744103395,0.03528166873025582,-0.059109026744656554,-0.07401922375596591,0.01135198972170866,-0.07606916459143125,0
TCGA-DD-A4NO,-0.00854330714166036,0.04574098510255442,-0.014223478379079104,0.00013504841743423632,-0.11565405566779588,0.23963050163999508,-0.009964950563207148,-0.032189886931777933,3.081964631968055e-05,-0.07940251096629283,-0.11581726308204501,0.011215863036128308,0.20977202229338507,0.0,-0.009752295378479015,-0.019194436972691256,0.02590114623830535,-0.10219148871445202,-0.03718858940499081,0.005449998358222748,-0.06349565220946424,1
TCGA-DD-AACU,-0.023383354614011895,0.031115809594033,-0.023977414305646746,0.0003585187974821636,-0.1488763054989405,0.20482272725517653,-0.020919452320299382,-0.029782234661147256,0.0003855607422253255,-0.06428354015073395,-0.14147375735227483,0.017432679214026716,0.15945481265279443,3.243295738963435e-05,-0.015184172418280132,-0.0316331182164662,0.049772562859535685,-0.12730576599532087,-0.07637349313219031,0.005943575182012552,-0.08290124887107136,1
TCGA-UB-A7MF,-0.013840627377910007,0.009913548149195357,-0.1400974857156229,2.7674278020746467e-06,-0.07111908799399251,0.15593291804769552,-0.009835522744778898,-0.03292519137920102,0.002245156495512057,-0.06246291060586557,-0.335786135563327,0.02151287704686027,0.203898905056796,0.0,-0.0564997720598246,-0.03108508316759917,0.07269995348894161,-0.056201538385065475,-0.08191617870456362,0.01897485810855533,-0.08997818634540242,0
TCGA-CC-A8HT,-0.02836376960690551,0.0023790640725328163,-0.2502944590791334,4.156391375897348e-05,-0.05337135152887652,0.04993559311893288,-0.011254996088173175,-0.06000116620928841,0.00031987409021997835,-0.04348733423248025,-0.18960519092017186,0.02861122701128764,0.1359868755766631,0.0001109851793680819,-0.08238887578800312,-0.02962786188485019,0.05807473871446896,-0.09474945112046272,-0.03581923386690914,0.019549292357258042,-0.1486421080855929,0
