,SMG5,SEC14L2,ARCN1,LDHD,KIAA2013,CDC20,DRAP1,HSPD1,PSMA7,HSPA8,MMP12,HMGA1,CKS2,RPN2,SPP2,G6PD,ADH1A,S100A16,PPIA,GSR,SEC61A1,DSG2,ATF4,class
TCGA-G3-A7M9,-0.095428783340918,0.0005739210407587125,0.07361308468209059,0.0061138012652001104,-0.001244729227303925,-0.17094447458153594,-0.044979549490161294,-0.22168566985599533,-0.06543099508491707,-0.17982652508511696,0.039630872414362944,0.006541836093732574,-0.2614069252163838,0.3232699609589084,6.970225680900156e-05,-0.013509299835068957,0.00035288651629172667,0.01784653930233783,-0.1192700623113466,-0.03701057601632444,-0.41044772930312906,0.011781398679787988,-0.028321696867260163,0
TCGA-DD-AAVW,-0.03856215468701952,0.003760148017640465,0.026278132393329823,0.009639214992478128,-0.0003707214214473936,-0.0037914092829895787,-0.023749752922720836,-0.10632655521213964,-0.0204116213841264,-0.11721940054719181,0.002753886495580646,0.0026255245919872853,-0.021918872712067508,0.16568674493071187,0.009306461261215152,-0.001451664409335767,0.004433808374682145,0.020543829450083668,-0.06883301781376652,-0.015993947081140908,-0.11228458152338483,0.00491246235413086,-0.015569702704582345,1
TCGA-DD-AACQ,-0.07938003856201176,0.01165431411795111,0.021613588393359275,0.0218790599994457,-0.0009450038436480414,-0.007757742875448754,-0.023821426248667517,-0.03060034664878214,-0.029572740458668333,-0.0388391576659614,1.6728747998910498e-05,0.0013163028721664282,-0.02078464223233976,0.07862493822862342,0.0005455383187587785,-0.002366670762676772,0.009676443689162897,0.03796291805389033,-0.055358908633969264,-0.029434283025607293,-0.23178423746462123,0.003960262386116633,-0.0170096780589874,0
TCGA-DD-A1EF,-0.10376574592565482,0.002302805629302938,0.03264054468401253,0.01746864107358393,-0.0006189893939669211,-0.01326347810933744,-0.03544287638601685,-0.09437505758009433,-0.040169290559653445,-0.07188181888133177,0.01038179409313186,0.0025213851919298467,-0.031669495263140626,0.18629938581588504,0.008420312687170353,-0.002105801148919852,0.018398332568589092,0.005119152432332659,-0.06062395475814013,-0.017956670065626647,-0.27763582288331495,0.0003981424660001983,-0.029237890112887546,0
TCGA-DD-AAVZ,-0.05824428999424811,0.0022894200383369004,0.026486078383480178,0.014639408552724694,-0.0003390583354271796,-0.006926418586408877,-0.02924757854905205,-0.1422056716042788,-0.02771365087166318,-0.11126903841088878,7.621617588303623e-05,0.0016316744708607166,-0.022537267443520338,0.19725506400723483,0.009630842015330977,-0.0007397129549693356,0.015570433954483544,0.03387880104235855,-0.08059068166933903,-0.01227688612063623,-0.13857824895825785,0.005410325958379197,-0.01885543226233725,1
TCGA-DD-AAVP,-0.034971238479896756,0.04797534083126364,0.012038681078601256,0.061220163102238094,-0.0008379064474007004,-0.0036772619656318477,-0.03429552441339301,-0.07406991916488735,-0.054728354826987693,-0.059827374767265615,0.0,0.0025023620368649887,-0.025359104609244173,0.15150580960841437,0.005670046725493639,-0.0019614118484812893,0.0032007723824898837,0.051407937225765664,-0.14385870373544843,-0.008453147147686474,-0.15046741881506712,0.0002748536684432245,-0.01897415122359104,1
TCGA-UB-A7MA,-0.06071263559698648,0.0010871091109359806,0.025325922829857843,0.005609304442667645,-0.00037440456736417794,-0.026190989809633105,-0.02583064070568056,-0.10016081265069174,-0.061896242671964655,-0.07211131522907957,0.0008298128157379563,0.010647872515708054,-0.09951135038561716,0.25445355333445785,2.3311262929095638e-05,-0.0017994489622503692,0.0028366698438328838,0.051975264254981446,-0.1301726488935403,-0.008157769351811058,-0.17665156064547374,0.012256948495852495,-0.046194001896638456,1
TCGA-PD-A5DF,-0.029499150499414314,0.0033060197191738866,0.02178587288822611,0.02579001639220457,-0.0016611847666757734,-0.013666739377333162,-0.02676318105315607,-0.08580224852025074,-0.11274163534881775,-0.05399952180252473,0.02798525486740939,0.001415758859231708,-0.04199970046685747,0.26009890883587977,0.0020997590585318357,-0.0014136015427551605,0.021032508173074935,0.03278686363367758,-0.07803950371375683,-0.01568252947227282,-0.23103636414071696,0.004898541825722602,-0.026356762472851937,0
TCGA-XR-A8TF,-0.02640219718336049,0.007017893875179601,0.01843233120580139,0.03688051786697995,-0.00036661174873611014,-0.004056779575845705,-0.020414234681208024,-0.13602253929759905,-0.03177333114057832,-0.04271919814243671,0.0,0.0012133308233034463,-0.03935799115406821,0.11194068154692893,0.0017168341079451448,-0.0005988633309460185,0.007738146676880435,0.013983431835914264,-0.08081694888866231,-0.01744843334650342,-0.06455029910703709,0.0017300606712389876,-0.018027294148196454,1
TCGA-CC-A5UE,-0.06730319363499399,0.004104453626590233,0.03602634504728531,0.027600262966252308,-0.0011948952293752031,-0.06168830840305831,-0.05117496307862148,-0.1392739905052397,-0.10123916891649064,-0.18659069814679707,0.0005337808911492362,0.005211758477471563,-0.10328994399548865,0.21492132905544262,0.0043599274789040045,-0.048056836620901267,0.010613836697947764,0.05984881888456739,-0.16621124146264124,-0.07980605640493839,-0.13042867139185838,0.01623514891581874,-0.023968387308878323,0
TCGA-GJ-A6C0,-0.034428558644051345,0.009047871291920632,0.022698575776102514,0.03694375159329978,-0.0029588729535252605,-0.018699632998496384,-0.045574651078270266,-0.06766637303503527,-0.034155585614761695,-0.08182806349987293,0.011656993095592809,0.0019167439672493109,-0.08076478459364807,0.25962557945884346,0.0012198930156670491,-0.001649477864387765,0.0012116386952229464,0.04585677452193164,-0.0646622992762193,-0.035294050905232445,-0.43190662362655796,0.007549250973197539,-0.016045445343540597,0
TCGA-ZP-A9CZ,-0.0682990757020828,0.005834956101645849,0.01775922048232502,0.021332877734894184,-0.00028170571466685384,-0.02702641950830728,-0.030901667418202668,-0.10161000599231032,-0.030304778143077395,-0.10782298875816171,0.00031637408215539535,0.003891722416185264,-0.07059176278032196,0.2241762157648668,0.002512976851700534,-0.002140324339085213,0.02894687561052563,0.041308186539189266,-0.08374262887303277,-0.012857036877350578,-0.2237477962369013,0.0046336423586595486,-0.02488155870406184,1
TCGA-2Y-A9GW,-0.04334535079513521,0.003957958842815228,0.019479207066867593,0.020887114289039974,-0.0005090172941709407,-0.0033260166609407806,-0.01933031452805896,-0.07695527551560921,-0.024733843588491258,-0.08470048687514273,0.016875559491348936,0.0014569336705625672,-0.022439352640712742,0.13777838817245838,0.0004741507763001422,-0.00415530782869724,0.004861370974871916,0.02376769467133876,-0.0627652952540548,-0.021090730220000926,-0.1501441076557289,0.002819495554425082,-0.012789520773847797,1
TCGA-WX-AA47,-0.010880036063821992,0.0008840712678013388,0.010241858944106222,0.024655546896963358,-0.0003112448713430315,-0.0029241520786969337,-0.015021048406711113,-0.06904653435770332,-0.016648962351667844,-0.006076163220978569,0.0,0.00023157212584905526,-0.019224750506527496,0.04944134252417486,0.0,-0.0020288245320049746,0.0039398771603146865,0.012155735042579177,-0.08497608971874342,-0.00491066828396982,-0.15671827675074154,0.0003047674509970025,-0.02796129348840138,0
TCGA-ED-A66Y,-0.06176818980120727,0.001080347175003757,0.04323765745517973,0.003557030590437937,-0.0009116825259063565,-0.018111205058850655,-0.031416020763126225,-0.08185357871177325,-0.03943363332871334,-0.0967655359498084,0.0,0.00121413863033001,-0.06330520964287331,0.22033265125567883,0.0002776268783853378,-0.006980525518782343,0.0006461544050969143,0.010328903208886131,-0.0779320920346637,-0.05655919752147395,-0.16090492307092033,0.005379951570106028,-0.019511293092225792,0
TCGA-DD-AACT,-0.046101897519673064,0.005905437875565162,0.021476148718311446,0.04897448289615899,-0.0006331213582703761,-0.0037845951494728585,-0.020640505704400163,-0.045599457014745326,-0.026115246642361208,-0.043073724683814506,0.0,0.001230820078898789,-0.030705661972714408,0.125910007564439,0.0032040018510453502,-0.0005102125889308594,0.007818192190223422,0.01762670363102953,-0.054582198386271485,-0.037368124657601205,-0.1379025903186171,0.002312138354515966,-0.011553655512449704,1
TCGA-DD-AADK,-0.06083944653866593,0.006879834226207575,0.015948787090088182,0.018931140291428842,-0.0003398330473600453,-0.0036506826125355728,-0.029117635920325072,-0.09347275495904425,-0.022870666410145016,-0.06600915006148372,0.00032032206668313823,0.0017484516149493378,-0.019571626549901217,0.17972201580293623,0.0014508951419251737,-0.0006794136596262884,0.0024625763598232608,0.03246336872755363,-0.056951211487964885,-0.008581266810970928,-0.16545226669426963,0.002573557689476955,-0.01565982541795157,1
TCGA-BC-A216,-0.04024564338044453,0.00568824006843339,0.028823607731768223,0.01614412715237664,-0.0008052510337361415,-0.03320611910319134,-0.015047578649454942,-0.05879602208088099,-0.015218414592742834,-0.03870260577643449,0.001762005569229245,0.0007706292257226528,-0.07002506219941973,0.11199605508905539,0.0008640083286212616,-0.001089017753523819,0.0039020659759308007,0.02923119989373492,-0.054758072462693146,-0.010396582588449619,-0.2041136014928273,0.008130484212655633,-0.019609550945079417,1
TCGA-DD-A39W,-0.05102849036348131,0.004453654379343697,0.028713526684781412,0.021480664640496944,-0.0007447429851593683,-0.0018419745638582898,-0.018923355420560024,-0.16420437000140042,-0.01608320538677524,-0.15123403036163455,0.00015316841667802452,0.002027226753697424,-0.015558004240574592,0.13787572662213027,0.015953495015657217,-0.001004473943759682,0.02994250668955083,0.018805915467592606,-0.06555906968110903,-0.013980784850012917,-0.09057406415947512,0.0014220945694128815,-0.011115845048799951,1
TCGA-DD-A1EJ,-0.0681021270484513,0.0007778991940025387,0.041033008010596006,0.014885402240760256,-0.0009128826765551638,-0.021928558837776568,-0.049184870768647186,-0.18965543583619632,-0.04452881593537914,-0.11524602364506453,0.00010064014796144556,0.00431162097553355,-0.07255232563879749,0.32957613790521145,0.0019854690857507274,-0.00754219955713485,0.005541773922449407,0.02097189797693058,-0.10831748412523853,-0.0158217179321266,-0.26486157180250064,0.01420346826599859,-0.041329140771538576,1
