,APEX1,CD63,CKS2,FAM50A,HDGF,HSPA8,HTATIP2,MMP12,PAEP,PPIA,PRDX1,PSMA7,RAB10,RAMP3,RPN2,SEC61A1,SPP2,VASP,class
GSM3212501,-0.093752282,0.016111074,-0.568049337,-0.019727978,-0.012067118,-0.021023287,-0.076333393,0.018749877,0.004936434,-0.079964598,-0.00800642,-0.048876532,-0.048324167,0.117463071,0.062550688,-0.061210617,0.000244834,0.036789529,1
GSM3212502,-0.091912423,0.015396798,-0.553443942,-0.02266899,-0.012313589,-0.02097122,-0.08019425,0.01456146,0.004558583,-0.081081851,-0.00851707,-0.052804469,-0.047004746,0.150589381,0.055209474,-0.054274922,0.000226843,0.035499402,1
GSM3212503,-0.096226603,0.015075308,-0.525718946,-0.017992111,-0.012630206,-0.020928567,-0.065659343,0.022360546,0.005616777,-0.081793814,-0.008331067,-0.050439523,-0.048308527,0.13624178,0.061260767,-0.054510956,0.000232095,0.040474953,1
GSM3212504,-0.088980659,0.01541096,-0.555863259,-0.018243355,-0.010561841,-0.021807077,-0.089664742,0.019988056,0.005604897,-0.082275101,-0.00849437,-0.049791212,-0.050064396,0.162595446,0.062706867,-0.058203782,0.000220786,0.035971679,1
GSM3212505,-0.089307736,0.015073324,-0.564801825,-0.015339173,-0.011820896,-0.022181951,-0.077385374,0.016382872,0.005263396,-0.079286723,-0.007615691,-0.046958303,-0.049448895,0.216331994,0.057846588,-0.055615223,0.000306114,0.036430921,1
GSM3212506,-0.086757393,0.014968149,-0.491026144,-0.016834577,-0.012032415,-0.020712979,-0.077655693,0.018772833,0.005017003,-0.076204274,-0.007777944,-0.047988369,-0.049134395,0.220431043,0.057733585,-0.055009009,0.000263224,0.035713061,1
GSM3212507,-0.091770204,0.015571895,-0.596890758,-0.021319764,-0.012295794,-0.021756787,-0.081501331,0.070626737,0.00450552,-0.080508838,-0.008446227,-0.04873724,-0.049488236,0.130295973,0.063399353,-0.058135173,0.00023677,0.035263708,1
GSM3212508,-0.09087405,0.015030577,-0.54828047,-0.020761364,-0.011742225,-0.021243375,-0.083638758,0.022416161,0.007187641,-0.078890557,-0.008352219,-0.050278652,-0.047887202,0.190252444,0.058650267,-0.057540771,0.000230425,0.032994046,1
GSM3212509,-0.093519239,0.014059172,-0.612844907,-0.017979479,-0.013070872,-0.020942768,-0.082959518,0.016216822,0.005107695,-0.080725647,-0.008185645,-0.051521489,-0.049452547,0.119691804,0.060421004,-0.060649911,6.36E-05,0.033885815,1
GSM3212510,-0.093022359,0.015533129,-0.54153365,-0.018870857,-0.012748633,-0.018755751,-0.077008383,0.019156554,0.004763361,-0.080098691,-0.008156266,-0.050751897,-0.048547559,0.163554107,0.058240813,-0.059610472,0.000268679,0.03449897,1
GSM3212511,-0.091817398,0.014605776,-0.544064793,-0.017974274,-0.011870824,-0.022955421,-0.092390199,0.047827805,0.00532918,-0.082289539,-0.008384113,-0.049414907,-0.047996622,0.189058679,0.058405744,-0.047293796,0.000142695,0.036172708,1
