,ANP32B,ANXA10,DDIT4,ERO1A,KRT18,KRT6A,LPL,ORMDL3,PGC,SHC1,STC1,TNS4,YWHAG,class
TCGA-78-7163,-0.2194478442422586,-3.5189610631547987e-06,-0.03524474563460813,-0.08673877882873804,0.014634909775218481,-7.659829681376301e-06,2.5201522686917604e-05,0.01565859814907877,-2.363686053778685e-06,-0.014463384307635394,-0.001941759558155366,-0.0059051535940673455,-0.07248244008362946,1
TCGA-05-5429,-0.15918986262275034,-0.07938925169857751,-0.024030702751028633,-0.18226824010590956,0.024207533964269227,-6.95373209886092e-05,0.00016791276891318032,0.010937092206203366,-9.120907092765166e-07,-0.01254698370418509,-0.0002972958572019268,-0.005203380105284666,-0.04703856466539993,0
TCGA-78-7145,-0.16634342084318157,-1.229917010021205e-05,-0.020188385876205105,-0.2217265899093476,0.024974318799863688,-6.686386627333028e-05,0.005083234770050924,0.025903252087283956,-8.845067291911694e-05,-0.03403995967306561,-0.0020907217768630125,-0.0033384392228575305,-0.16372238043860596,0
TCGA-49-AAR4,-0.09650521053940274,-1.715923358808708e-05,-0.008305736264059116,-0.05396452928940846,0.014800520427577606,-8.61310724842433e-06,0.0005116057741636651,0.014145979624242383,-7.784182900939604e-08,-0.0076499529482639515,-0.00018458803738734812,-0.01495982210393029,-0.04879684963388786,1
TCGA-91-8497,-0.10920138911141405,-0.0005194765973360765,-0.010450542169620412,-0.031715355108023625,0.004865591505556959,-3.5503478618904114e-05,0.0057846387111088835,0.013966240987076396,-0.002443584099349366,-0.013024523026774345,-0.00016047991603040262,-0.0015575651373526903,-0.03661365831306171,0
TCGA-44-6778,-0.13263408757518266,-4.074888136649938e-05,-0.003773578297749868,-0.03289442521949588,0.002303848402402778,-5.25769242748797e-05,0.007519617730873052,0.011623098536733923,-0.0002382290136270062,-0.010612512086319649,-0.0005356896080627388,-0.0003126603410761773,-0.07954615662400853,1
TCGA-55-8090,-0.1486473472348041,-5.114529076155281e-05,-0.005348489691980162,-0.13511400010034444,0.0259114343430314,-0.004149342265446494,0.0009661301250683917,0.011296724094416774,-2.221289388369892e-05,-0.010436463835586222,-0.0004314393914783017,-0.01647625778687476,-0.10292257898149518,0
TCGA-78-7537,-0.16209018427077646,-2.142325155386423e-05,-0.0016662992648243673,-0.04316256697769164,0.008013190272769923,-0.0014112449428405338,0.023587574530836344,0.03368772086690181,-0.03635715660766615,-0.011623319301932439,-0.0003143653857505213,-3.0595029483713554e-05,-0.03956074236100332,1
TCGA-05-4397,-0.2915420497760688,-6.56796315696319e-06,-0.004774558466875198,-0.06903896936461097,0.0037118939875223312,-1.8662241601055624e-05,0.013066935696614365,0.008294416283360534,-2.1827811845933733e-07,-0.02310050554199006,-0.0007545559688220936,-0.0007600431131175706,-0.07012839862276259,0
TCGA-55-7914,-0.14217313979333826,-0.00021561946761890853,-0.0024054340415189577,-0.05849767621207212,0.007608229877216549,-9.768039685424824e-06,0.0013650030353925707,0.011724030478533456,-7.556423899919034e-05,-0.008195048542609338,-0.00040094007729323856,-0.00015401815978733076,-0.061982376647066816,0
TCGA-50-5942,-0.15111007756246017,-0.0004311013862711791,-0.006890826470678803,-0.03340173241219177,0.005944058199424627,-2.807891295247236e-06,0.001734635618905917,0.013292789303718206,-4.3662272920265905e-05,-0.0102614204452715,-0.0007748737891319752,-0.0017211442438536814,-0.040350923029375464,1
