,HSP90AB1,LAMC2,PYGL,SQLE,GSTO1,PLA2G4A,ATP6V0E1,PSMB3,TMED10,TNFRSF12A,RPL13,TGFB1,SSR3,NDUFA4,EZR,OAF,BCAM,ALDH3A1,CCL19,MT2A,RPL36AL,AQP1,ROMO1,TCEAL4,EEF1A2,SMS,RPL35,HSPA5,SERPINE1,CYBA,FXYD5,MANF,PPDPF,EPHX3,CCT7,NSDHL,CHGB,HSPH1,SPINK6,CCL26,PFDN2,SF3B5,CDC42EP4,class
TCGA-IQ-A61H,0.06699875233847206,0.0012739084895719824,-0.007678691156075778,-0.0006316466654685245,0.04043177472633819,0.04180658647521687,-0.11023413686811627,-0.037176077152905544,0.04832094286680571,-0.01976186915603527,-0.014464885957478421,-0.0034209912381843325,-0.03328451722621586,-0.11108840550449214,-0.10250514765695051,-0.02076095214696736,-0.006486814372963919,0.02842514987753322,0.0026497287752041457,-0.008878207755470564,-0.05065760132138833,0.02178462361583893,0.029944124043398836,-0.06880230029827211,-0.008049415565998216,-0.039343574702746784,0.0021120600565783126,0.002985662945788232,0.00405271050617338,-0.00196155457798919,-0.0027560819993182476,-0.004635302783870284,-0.011094776279775575,0.00010672661011260515,-0.036412804905444345,-0.03433428011156315,-0.011639943357020375,-0.03407494030619563,0.0024089869584674717,-0.04416238203833866,0.0311470052808808,0.021191937891577084,0.018321314066190086,1
TCGA-CV-5436,0.054611513851302335,0.009240157416811138,-0.021775848601131048,-0.0004731684779763289,0.03508792530118491,0.01941004105379008,-0.12831453285850297,-0.05218800842201566,0.041392646182263404,-0.025044348825461908,-0.04550308209742522,-0.009472388941393937,-0.03412339474093103,-0.0745786937913159,-0.10415723145502581,-0.051986134252348895,-0.0449461079579709,0.0008087615398054608,0.0009621935739280136,-0.05669037563813447,-0.04161460374152517,0.005386508612208219,0.04299092034609452,-0.030658357689557072,-0.002307759159162455,-0.020886101525053016,0.005027657579031398,0.003956343725316021,0.0033772066846981127,-0.005809451542749294,-0.00882063599017264,-0.0032533909000400114,-0.02072976495853316,0.00035023672422917704,-0.030763072646229975,-0.043675323330091304,-0.00035163196651178064,-0.03850818721914087,0.13330228292826804,-0.0013073020403606193,0.017464395568118418,0.020446684573159374,0.046786608218375485,0
TCGA-CR-7391,0.03740692123483837,0.0008395755276887109,-0.006245813941110992,-0.00020833762112148298,0.01806750978566301,0.005421900937247044,-0.08598594476869126,-0.015228534027577078,0.03228669607525385,-0.009168252350996099,-0.021479433713486793,-0.004380498786793107,-0.022358927601559313,-0.03577799664054436,-0.08075870077687367,-0.014373229307704297,-0.012968948183055648,0.001760630963630535,0.00842130509918679,-0.006377767686756854,-0.02979674270555424,0.0482547467138226,0.019486054573635038,-0.01597572291054441,-0.006708891234495497,-0.007052789498022034,0.001548441003255173,0.0018869712785849347,0.0010152278012503179,-0.0029297257090768894,-0.003781026703112406,-0.003720700100325901,-0.03456592043703547,0.01496127717887307,-0.011335100700868236,-0.03759226776317513,-0.0002686171061619446,-0.013578947363269393,0.01359381411335813,-0.00035721494634956215,0.00446748981922669,0.012637846258157922,0.014102930517898501,1
TCGA-CV-A6JO,0.051000015751474156,0.003064880357784343,-0.0229957594299049,-0.0003899616458709238,0.036540307263767384,0.0035302447769090628,-0.11663099367372179,-0.03259753822800082,0.03208856719301852,-0.08311370147606294,-0.029146102062432216,-0.006905478808290885,-0.036878137734873015,-0.09437144606823107,-0.12382354161052522,-0.013182386090382065,-0.0027481590578149096,0.00014316748215080497,0.0008315121576137655,-0.05582721105476654,-0.047715755402423427,0.0033028802507498022,0.04145962088072068,-0.026905783965011056,-0.00023441559954467882,-0.011660089850677057,0.0030702378409450115,0.002375829914199561,0.009481073571132807,-0.004626060478716033,-0.01392611259453376,-0.008840769781504393,-0.036605557158997035,0.003032474516217048,-0.021004008560627195,-0.03943247963781943,-7.68395162698932e-05,-0.03314478030182486,0.000966409848237696,-0.0008435283385306133,0.029135750437867158,0.02112852932008603,0.01781799337988568,0
TCGA-CV-7416,0.06360501205569034,0.0049909223411400494,-0.0438434009328155,-0.0015931286792260151,0.030257355759644458,0.013920974842380215,-0.16983326787282885,-0.027608692045309895,0.08946729526491905,-0.04738672795232806,-0.028647456246668302,-0.012382434873122313,-0.06033256249748435,-0.08674252347639894,-0.09096513827194501,-0.03606674391031842,-0.041203385010802014,0.005283574409593087,0.000157660931225417,-0.01905676034289452,-0.06284518634253355,0.01708800813948335,0.02960852258835535,-0.0793893061598849,-0.0003019383888099745,-0.011301274110825254,0.0020814128078193257,0.0032411696119386455,0.01448384399686327,-0.004293516809005216,-0.007176658963040855,-0.006833873607494911,-0.04185710562958885,5.4102409004450816e-05,-0.017591303312582456,-0.09765982057681453,-4.225344489598496e-05,-0.08288905136539126,0.003971960753842802,-0.0008430338663474095,0.009317108669105515,0.012389990573453668,0.05684984828618729,0
TCGA-QK-A8ZA,0.08950014757052316,0.004027198484987341,-0.012995249031056236,-0.0004300161129329388,0.04981682810679811,0.005931742318509885,-0.12540391408792415,-0.040172656605181975,0.09679963215840094,-0.022138841220687336,-0.03686324242810268,-0.0034586464021323154,-0.08146450127848277,-0.12348310119414117,-0.04551855102135815,-0.02452229857057034,-0.017676925780640753,0.007128089742876075,5.195164477356544e-05,-0.01338260247719545,-0.08264900770635658,0.005630008242676348,0.02758723387268341,-0.04281620038464774,-0.0001954110630997299,-0.03168047918926293,0.003780040335371975,0.00515760171940703,0.004040686197816569,-0.002533048906300225,-0.0016680245987678918,-0.003408621659706254,-0.011770913418148416,0.0011960081541741655,-0.028484701663541598,-0.0386357231018487,-3.060732619488464e-05,-0.018935949497904635,4.883275761430942e-05,-0.005661170819486364,0.01641050014302137,0.009728879256119326,0.017365558807639615,0
TCGA-CR-7385,0.044070164531024615,0.0004557005942681627,-0.007021959543031409,-0.00017636596011652854,0.01698994451824266,0.01088710223293822,-0.11817097771951571,-0.03289288145179508,0.0381952180904814,-0.00667371477872289,-0.02744939224545211,-0.005337984641405621,-0.03106970458636338,-0.06384568528467961,-0.1497070213930549,-0.006953837579340823,-0.0027082628314281402,0.0038220132537970376,0.015469753716765663,-0.01241027473641357,-0.04505342078896892,0.01060347133213259,0.024667757728408353,-0.015932381365527572,-7.345946835435615e-05,-0.01730406738971679,0.00253884517382633,0.002073661689362658,0.0006573325572768568,-0.007607014822271365,-0.002193962262186072,-0.0056744210387236265,-0.02509347665163679,0.022971882863289817,-0.0139293895197731,-0.05675829835114887,-2.2338996369726232e-05,-0.007807938878994173,0.00023564199311532446,-0.0013112166118109839,0.009428961331528578,0.022675870614435583,0.05998913422969607,1
TCGA-HD-7917,0.19354279874640748,0.003531855321696974,-0.025637539785698125,-0.0005739481164717139,0.03326964330343112,0.006502918341117911,-0.09366553345474077,-0.02958276820168317,0.03269020699955702,-0.026111245322684943,-0.022497139947568932,-0.004997712167096585,-0.03838207359050568,-0.08082303691184732,-0.08620257247286867,-0.00904239939901319,-0.024026629379308984,0.0009047315590617347,0.0006507565537398522,-0.011854370235870519,-0.05451024951355778,0.008903560615496083,0.025613910297284753,-0.048568025445338066,-0.005335243562654749,-0.01153394564072985,0.0032931375160361108,0.0031022693324325545,0.001619307357958277,-0.0025128325327295202,-0.004403092651969504,-0.004778071880647586,-0.01689397577085053,0.01298737690135185,-0.022219846580415394,-0.07983333237001154,-9.884695054136745e-06,-0.014855414565766686,0.0034525334136347517,-0.0010880448331249497,0.013995789342946579,0.021225597740553877,0.037994875512203465,1
TCGA-CQ-6221,0.05175346416670325,4.3466207000345576e-05,-0.002475486566490835,-0.00019960895509966777,0.031555205251628964,0.002629886592976811,-0.16548520500763297,-0.027047374461712115,0.04530247179153963,-0.038738903175411635,-0.03174876244277747,-0.009663902143370155,-0.1272402897919143,-0.10631167140942582,-0.023864290205936205,-0.02622013942855695,-0.005382517287384131,9.697467346779273e-06,9.348957358214085e-05,-0.04293608361199834,-0.02109335047524159,0.022659954198805968,0.03422382295589393,-0.03360288616136271,-6.019903562271634e-05,-0.010343613208595311,0.002439988586396307,0.0043557279761366205,0.0009203591484008745,-0.0026822647561496344,-0.006220212194881256,-0.005164787660526539,-0.017346349510946213,0.00019502489511804766,-0.016347850014510397,-0.020422734044237882,-6.102814870950255e-06,-0.011564732996843418,0.00024814700908479275,-0.0008438167806374823,0.011171847052655616,0.03283288482714549,0.011628499087879357,1
TCGA-D6-8569,0.10760322747252953,0.005158383139384614,-0.01578243446949779,-0.00028936119170608105,0.030801423616084886,0.00419412334144706,-0.13557052768288588,-0.049451070606690274,0.024186680824473266,-0.05579005561529755,-0.0255948555466988,-0.006246682655879287,-0.05399558087802301,-0.07600355492750827,-0.13410261120377767,-0.03700400441360068,-0.029856734778177466,0.0004556021709050504,0.0010334914733140185,-0.0326384710151161,-0.019872938721932503,0.008606153809219055,0.03687065189173418,-0.03140134159587511,-0.006045203802127817,-0.023824881251187372,0.002921066515694449,0.004532603806271755,0.009959670224329243,-0.004081871907604049,-0.008495121328957706,-0.005766130792979794,-0.03406951072173218,0.002813108464406652,-0.033374453254009784,-0.048761281844766656,-0.0005656449396178546,-0.07327280889026845,0.0008040169915438357,-0.001180634749429883,0.015227630851796159,0.013866564136867862,0.053995115771186625,1
