,MME,TNFRSF1A,RBP1,TRMT112,POLR2L,NQO1,RNASE7,SPINK6,PLA2G4A,PSMB7,TPI1,FXYD5,CCL19,F3,TMBIM6,MSMO1,TOMM22,ARL4D,GAPDH,HSP90AA1,ALDH3A1,FTH1,HSP90AB1,PSMB3,APRT,KIAA1522,CAMK2N1,CDKN2A,CALML5,LYPLA2,SERPINE1,SOD1,TMEM230,RAN,CHGB,TCEAL9,F2RL1,IL1A,RPS21,KLF3,USP14,PGK1,class
TCGA-BB-7870,-0.00010941513790846658,0.0026111558093241415,-0.003796112323514745,0.0352101085779528,0.00833697003182259,-0.0045161594385151604,-0.007177191724799795,0.0017929097012473342,0.050518586075457055,-0.04405996343316337,0.11758050468568947,-0.00723480426412949,0.00063810922820846,-0.039226438454076744,-0.06345575767085844,-0.004254675757210826,0.03464236560354211,-0.060458829641327386,-0.09427374570631225,-0.0008708076046653635,0.007178337635108988,-0.011091538586730119,0.05203762915536991,-0.045957371598662644,-0.02578037091400031,0.06615002259348313,-0.0016724910251218648,0.00030198963500983325,0.003339481556555886,-0.034100300853397755,0.0007535930849121954,-0.10490742187025273,-0.008149109276827727,0.0033387972942666676,-8.43266194585513e-06,-0.06522971627460784,0.003953228911170119,-0.0027069936182537507,-0.09211621738908579,0.003976356659966797,-0.014923986086440903,-0.06491188286233346,1
TCGA-CQ-6224,-0.002706116259666377,0.00768621952017423,-0.04580102295587199,0.034218517331832,0.008798564773648548,-0.0022263911774996576,-0.04352030057286104,0.00010920061679098469,0.0025142272131779527,-0.06046280386728136,0.07565066382845481,-0.02653844206466368,0.0005835365048369552,-0.02175469105456221,-0.1352137376654527,-0.008470121599712284,0.01968037693559728,-0.07469712372482738,-0.1949198261945959,-0.0008535971654472404,0.0003228813098778799,-0.05983743925471127,0.0638731307793266,-0.020641648887408413,-0.014748426460405226,0.06829940779559356,-0.023770495843951273,0.021121390615779223,6.827711972846375e-05,-0.04170688805736753,0.030865860534462903,-0.03630799566099443,-0.026055185063662133,0.002516561679045161,-0.005738411520278479,-0.1159018316889762,0.006784581629844358,-0.0011736507038505688,-0.02687149872269747,0.0022966710668802398,-0.007221452905847795,-0.07877734216778132,1
TCGA-BA-4078,-0.0014627458968228225,0.003784321619852589,-0.04095413273823475,0.033151493259723,0.00452581474308776,-0.00046756409077102396,-0.0009433076842161554,0.0001369386458023772,0.006320897733666955,-0.05776909759838872,0.0566034916443649,-0.008771672916016623,0.00020665896089885322,-0.0019893227620398505,-0.1166261149304084,-0.005802506743614805,0.02977199545137712,-0.024308969155162518,-0.11540805474686457,-0.0007328135696375022,0.0006028547288656534,-0.016960469710448334,0.06464410041869613,-0.03265734331666691,-0.015575908046618209,0.06573744499597678,-0.004165869749688233,0.032633927592225345,0.00018849665060749167,-0.01433560658959963,0.0049855365444189444,-0.06187145064296839,-0.06195153191357122,0.0024087494867625248,-0.00011330829469395187,-0.13971096728683954,0.004123920205216205,-0.00027804877462152863,-0.01814940541965028,0.002761528587840992,-0.006545514416291105,-0.08785795692954484,0
TCGA-T3-A92N,-0.0002468383700888513,0.006279969330625649,-0.00324835191103929,0.020543287596943235,0.005541001144465215,-0.01210987896594031,-0.0467537486302182,2.5772060460327317e-05,0.00421051832479033,-0.11032673952613312,0.1474518059983313,-0.018752361707383553,0.00019655330769773147,-0.00482431656591125,-0.1473521556785242,-0.01107541931072287,0.018799183759498368,-0.07608000154450648,-0.279150553230801,-0.0013254893541525682,0.006437676873644553,-0.08343066518057167,0.07022657323342847,-0.029145887677626166,-0.04336570860302652,0.13149479846734055,-0.06604896082643373,0.00035971225662702333,0.00014387460885665286,-0.054137607519293515,0.03014821750571074,-0.07630589584016703,-0.008725728230988468,0.003822870899963452,-2.543736867964564e-05,-0.1491886393303665,0.005197182866338617,-0.002901133589661147,-0.0534442372371579,0.0019864947764652303,-0.00512642966549431,-0.08095620386480266,0
TCGA-CV-5978,-0.0015747600986384172,0.005706158210083768,-0.006248360378785478,0.02951290113604227,0.00341167710879915,-0.03086731149604697,-0.008880889752483332,0.0004121206256273839,0.012930111891935388,-0.045974029511944146,0.09727420245274854,-0.00864685842892743,0.0002926576670247335,-0.001955633966024431,-0.11471576896046372,-0.014249811930901204,0.025241645116036444,-0.014372809626811107,-0.15529872494152505,-0.0009943868530565955,0.025428345176696242,-0.031289460005085284,0.07228836846701689,-0.02335963816544688,-0.008795154153695887,0.07545906018610962,-0.006821974155307906,0.06665930477859808,0.0001890329653636029,-0.02688439434830315,0.00587986427978035,-0.06235893366556095,-0.01807363112686358,0.001999212040763995,-0.000161236080534975,-0.11019396382007714,0.005601292896839325,-0.0003125004000721287,-0.020378971759257597,0.0026151824004768307,-0.010309569533335854,-0.05454902699471269,0
TCGA-UF-A7JD,-0.0023073871408231974,0.0047714590351330575,-0.01254974894926585,0.029622457850149844,0.00802097125252252,-0.0059990419823249585,-0.051472100003554705,0.0001946487589968272,0.008536288743108793,-0.040690881764146584,0.08870218827157625,-0.014000009298672287,9.374905768450951e-05,-0.008857113519831835,-0.06415037298574663,-0.0066846672048813584,0.01654692224057853,-0.01124015196161417,-0.17056078590631615,-0.0012669942134094765,0.00021177149713900057,-0.17532941594560095,0.09640269898487366,-0.02163151975740599,-0.03148886734584564,0.045216333738035255,-0.017097777812291277,0.0008233833909777014,0.0020043112552633364,-0.02838427015199785,0.011860765714811325,-0.05261375762395373,-0.014088817868424239,0.002298977799887215,-0.015551033294149126,-0.15565643043624916,0.0026066274703169558,-0.0017956894861534956,-0.029873756985510508,0.001223999302579358,-0.009516769769135612,-0.08503382931783357,0
TCGA-CQ-5331,-0.0005357161444936964,0.0033161234410012536,-0.005643170623865663,0.0176793417215088,0.00742142532356138,-0.004995731497983103,-0.25168529152757274,0.04406788209733981,0.0222117223319636,-0.04511850524713463,0.04761798476521776,-0.007799892602102161,0.0006062641591478443,-0.006330492378915009,-0.06468225810606466,-0.010627341337660544,0.01199898938440001,-0.07034943213359285,-0.08412784783590554,-0.000706885256080801,0.0008222290034886303,-0.040608257704299947,0.057081251437840756,-0.02099064335096935,-0.02668788788067576,0.0412651098234552,-0.0007380142543490229,0.02280974094882409,0.009883268824538174,-0.0294789929780882,0.002296374290356128,-0.03690552738616293,-0.005112174233617705,0.0019111509079882843,-6.440482895836699e-05,-0.07842190819519941,0.008456900352707877,-0.0033253987915296645,-0.013924452237255268,0.0023985741243185764,-0.007634987153897748,-0.04992466829010407,1
TCGA-CV-7253,-6.506747403858976e-05,0.006173030205349151,-0.0036393355151554383,0.029810914159755758,0.0037333487091441996,-0.017013427462268724,-0.05885806749338231,0.0004180721486046995,0.07518793362313082,-0.04151215651710385,0.10625188217223905,-0.00921305790045633,8.390876480829956e-06,-0.0015595881715852445,-0.13314937200444352,-0.013158599355105995,0.015445472350740655,-0.07413845932507272,-0.2766204259452647,-0.0008897045545924784,0.09556906633511045,-0.04904814119091324,0.10796694849470624,-0.021025010457853505,-0.027817951346619095,0.1902876415477639,-0.0023261631910446007,0.04298852260756491,0.015336713477392686,-0.03771926767532052,0.004411645840710195,-0.03999951541698561,-0.007614250945236568,0.00266752274205219,-0.0007388485340328228,-0.025743991670774142,0.009359216307185041,-0.002689076166844688,-0.0395237096674689,0.006121820921490182,-0.007677455653845565,-0.1739135513136421,0
TCGA-CQ-6228,-0.0007511658197041555,0.003864152888156086,-0.016473809913193523,0.03369992939863927,0.007111046890330701,-0.03058582012494834,-0.07350738964942659,1.6406901180707683e-05,0.04200733999241213,-0.051453808702006006,0.14115600370009576,-0.003799760516594737,0.0017610519008139443,-0.008652634995829052,-0.056971308547472566,-0.011033906787563946,0.022679040224246976,-0.07085420740967895,-0.3471562483093092,-0.0017074399288830005,0.02835567400402512,-0.07005177417598767,0.12207188270693996,-0.13181968853414322,-0.03656676922741566,0.0502665639051517,-0.0027602102371548066,0.04639081315124816,0.005973416524858009,-0.014779265744377386,0.005308777111292169,-0.13222249599479158,-0.018158734879805377,0.003148086483808251,-0.0007373750582736887,-0.08527234966100829,0.0035008648188799467,-0.003489282076459716,-0.026330336634679728,0.004132723679825553,-0.00721010386699879,-0.16373699380237805,0
TCGA-CQ-6223,-0.006567998070761224,0.005538569027116475,-0.007237333001208414,0.01856808547216222,0.004708665176439219,-0.00623210527662307,-0.1871598398642513,0.0001822631571251165,0.01310215217371244,-0.04613917637690675,0.037377540182678595,-0.007413072822454444,0.00015271578202231145,-0.002204559592896853,-0.08409375718764045,-0.02766984733003929,0.010937872371754356,-0.02991298203179917,-0.0758740505116607,-0.0005455157384142999,0.0016451181283755698,-0.013830475451559588,0.03160552793431118,-0.01965503237202191,-0.021745348092949555,0.08449497686089653,-0.00246387997423618,0.018763777745444875,0.018349733047437436,-0.028070601807469477,0.0034101977013130313,-0.017075274008955244,-0.006915720278872703,0.0013978479182733075,-1.7323296087116796e-06,-0.04443385791935858,0.004030543250908462,-0.002530961549487177,-0.012635945037397216,0.0030110611788844313,-0.002626293560491673,-0.043384384501967556,1
TCGA-BA-7269,-0.00922764015972462,0.003415947134511782,-0.09291251692157941,0.03492383498746285,0.01911554820270796,-0.020015074229615494,-0.014258583235665439,0.00038810006442164196,0.0034532804178776977,-0.0645072787747097,0.09716798188645559,-0.00739076467951787,5.631861130230339e-05,-0.0031366634118385464,-0.06360681863111253,-0.010527012958646675,0.049938208325936366,-0.09184704716013914,-0.018406648795385505,-0.0010434578650715134,0.0016244586048891716,-0.010279774314719232,0.03923838066930852,-0.06640150079952585,-0.06309222740963707,0.10559674387162866,-0.013778098388575433,0.07552183545379758,0.0007480380869338307,-0.04366392732812888,0.0029470593181217613,-0.1451765969894947,-0.014915136039851019,0.0014557568281331767,-0.00023909135375408614,-0.12621857974364312,0.0033792789619538576,-0.0004275980984243297,-0.11441414206822939,0.000968658116529012,-0.0034235722876086853,-0.021812721190965383,1
