"","A2M","ACOT7","AGPAT2","AREG","CCL21","CD59","CYBA","EIF3D","FASN","FSTL3","GPX3","ICAM1","IFITM2","KLF5","KLK7","MFSD1","MSMB","PFDN2","PIR","POLE4","PPDPF","PYGB","RGCC","RPL31","RPL36AL","RPS21","S100A11","SERPINA1","THYN1","UPP1","class"
"GSM1933000",0.00115938891067158,-0.000785710038141469,0.00463542764051079,0.00814114850728056,-0.00299214397797226,-0.00278903713089435,-0.0127217131500633,0.00471135027774905,-0.00330071003476991,-0.00892550477438643,-1.28528355732936e-05,-0.000104980197481568,-0.00191304087010888,-0.000593015181472759,-0.00660135831640114,0.00437302900948018,0.0107906330875494,0.000489866717663483,0.00807216420520771,0.00405941890066045,-0.00135648318939722,-0.00305567741819557,-0.0108650112251822,-4.20511593285312e-05,0.00506213805423037,0.00239841845642846,-2.55868427543061e-05,-0.00224194853754251,-0.000919645569251411,-0.00898122245368153,0
"GSM1933001",0.00107683480401708,-0.000801458314151204,0.00461246515511412,0.00818751314280032,-0.00295918123918175,-0.00264498632898075,-0.0130960249506857,0.0042927158200183,-0.00296382453763663,-0.00885057573953877,-1.20104622947012e-05,-0.000109613400923835,-0.00192622671213757,-0.000524028443868955,-0.00534604550684407,0.00402152884550451,0.0111585166885386,0.000466724691049158,0.0067650620773047,0.0039180603147985,-0.00136508917313101,-0.00268724976368514,-0.0112738387030073,-3.66448826994172e-05,0.00482946432524481,0.0023155131197301,-2.62353059251002e-05,-0.00218557924805889,-0.000827381291831972,-0.00951325918459735,0
"GSM1933002",0.00108368734603017,-0.000800124030964104,0.00455856337015609,0.00756187729202437,-0.00308866595125454,-0.00304557514587088,-0.0134547108946185,0.00444586150340143,-0.00293100982011543,-0.00898833392543513,-1.23410598403583e-05,-0.000125043852870954,-0.00207742425254612,-0.000529126081819285,-0.00571613037246644,0.00425897326183473,0.0115098715431785,0.00046197387516458,0.00595184516627816,0.00388078696929541,-0.0014259952527202,-0.00304267780672368,-0.0113557984702189,-3.66769042401545e-05,0.00498769671673949,0.00234520634418295,-2.79774805572427e-05,-0.00248716198055673,-0.000789854839571619,-0.0113607379854891,1
"GSM1933003",0.00114237355768864,-0.000809247171055781,0.00477221629258618,0.0110591295558618,-0.00306969571883961,-0.00278007027066464,-0.0123682096232839,0.00443944058328876,-0.00308262943868322,-0.00921845575545781,-1.25963712159009e-05,-0.000116833781826896,-0.00198964174232937,-0.000533560834323843,-0.00602226699009774,0.00428683670268692,0.0117931806071519,0.000487595001565621,0.00725434896716971,0.00374999447878034,-0.00132992732231585,-0.00300084587805044,-0.0119451354598379,-3.61921248432792e-05,0.00485059805794446,0.00231502875345786,-2.69723423457948e-05,-0.00252816514220745,-0.000792601027545833,-0.0100786572653766,0
"GSM1933004",0.00107256706845437,-0.000805954434473743,0.00480594614292362,0.00981674076658079,-0.00331592360445752,-0.00285526075924268,-0.0126246604232563,0.00478634015285345,-0.0030296787945561,-0.00913522010802485,-1.24186700914901e-05,-0.000119341743058574,-0.00201186576371734,-0.000528270782603755,-0.00583235926989479,0.00387499649142291,0.0105259027867006,0.000499179297932059,0.00734653992069858,0.0041045438220744,-0.00142409243540981,-0.00297392207514478,-0.0113656322785979,-4.18899895226903e-05,0.00479168385276177,0.00248095628218474,-2.72091403115438e-05,-0.00254351991344438,-0.000844640593511091,-0.0097885456552567,0
"GSM1933005",0.00110686734406665,-0.000755755625559396,0.00447403699611725,0.00742001726716302,-0.00295462907084563,-0.00262231930434144,-0.0121911912358516,0.00405094820262815,-0.00301031711617876,-0.00902296586956773,-1.30964499872917e-05,-0.00010876115051255,-0.00194492003706026,-0.000482254919741033,-0.00532608239080091,0.00386949132558501,0.0116145409393261,0.000467678231074958,0.00595654402259596,0.00438818731486917,-0.00137446608872711,-0.00287189063151026,-0.0115256308364906,-3.81030467990177e-05,0.0044743662821096,0.00231670760704734,-2.57447939914032e-05,-0.00237866364024425,-0.000855541690197546,-0.0092650403770478,1
"GSM1933006",0.000776090140174359,-0.000760675661800768,0.00438942806321976,0.00824074063423301,-0.00268816271342142,-0.00227775436717953,-0.0115000432089496,0.0036067419977884,-0.00262037741337351,-0.00870405382755712,-1.16066392961114e-05,-0.000101912182628412,-0.00174880035541001,-0.000345280461292033,-0.00540766039944671,0.00345980155110498,0.0118939564143732,0.000376315037744216,0.00570947446253029,0.00367194916222691,-0.00121801433237274,-0.00266423135025805,-0.00975544198141885,-2.99123342602525e-05,0.00386770257237533,0.0018770245019567,-2.12215275449105e-05,-0.00209738640292735,-0.000721757413717851,-0.00960598071557487,1
"GSM1933007",0.00102028901083993,-0.000813626036992785,0.00457814805658774,0.00786903054157815,-0.00284949978754591,-0.00274593825273379,-0.0122661963749021,0.00425623075069797,-0.00322470199329369,-0.0093942094396164,-1.19160919629954e-05,-0.000107987762245461,-0.00191441307333069,-0.000472357772359337,-0.00552035298608366,0.00386037716494418,0.0139167293941026,0.000486025811050247,0.00570927543216234,0.00388244268031177,-0.00134404921940488,-0.00284715495549071,-0.011097728059025,-3.66465741156344e-05,0.00471766470786919,0.00235048751569624,-2.52968951675987e-05,-0.00218986731414491,-0.000810430187328668,-0.00945312302852675,0
"GSM1933008",0.000988766384745809,-0.000817143284204247,0.00468881611710969,0.00825253822486507,-0.00280970803456493,-0.00264198313902432,-0.0140829953342754,0.00420039285999518,-0.00301368179662858,-0.00898094552099901,-1.14747452560387e-05,-0.000120406726998618,-0.00206748578507196,-0.000510337463157427,-0.0062851829635981,0.00417238676294052,0.0106121542249921,0.000476781650770665,0.00730022222924733,0.00401338170601203,-0.00130095136575667,-0.00328735571935089,-0.0108537460429528,-4.25439141936502e-05,0.00482945989450927,0.00238019351033607,-2.58970974814442e-05,-0.00221172238726625,-0.000887249574860646,-0.0107404502422522,1
"GSM1933009",0.000984891183071242,-0.000790231176452802,0.004552557560448,0.00711570917580644,-0.00277127945558483,-0.00258527463462006,-0.0125823627400529,0.0040643356236236,-0.00284282921292147,-0.00913128215481466,-1.23975368524174e-05,-0.000114273609239443,-0.00187491738783302,-0.000490102463221219,-0.00618903936121,0.00416842260995068,0.0111431705677087,0.000429038533139474,0.00638755483189135,0.00376169722115558,-0.00126432829735937,-0.00286615903945981,-0.0115970555981447,-3.33796262328406e-05,0.00436649409381494,0.00213282227831341,-2.44888663443013e-05,-0.00217991815451743,-0.00075661404092351,-0.00968392911777658,1
"GSM1933010",0.000914109466908421,-0.000807978762852994,0.00445896711023177,0.00678591614236698,-0.00270454346681687,-0.00256887323752273,-0.0121772312787731,0.00412305657858497,-0.00271903237370496,-0.00881105388093946,-1.09721271607806e-05,-0.000126497939262142,-0.00181302109373614,-0.000450171481478332,-0.00529587054586448,0.00352603702929628,0.0184023587531688,0.000422772438639747,0.00631201118302241,0.00376895103823787,-0.00122809191983506,-0.00253039651466763,-0.0101302858958034,-3.86173092830681e-05,0.00437057166107453,0.00223976699055599,-2.37995315413284e-05,-0.00210447661786651,-0.000754530629411302,-0.00894702807608652,1
"GSM1933011",0.000977357525831472,-0.00081410408946164,0.00478998006111227,0.00666802928654831,-0.0025661663489558,-0.00280843692956854,-0.0125608365458286,0.00431137837342865,-0.00356825201124695,-0.00926840635881241,-1.38018135237828e-05,-0.000109893281717705,-0.00207857003313843,-0.000411553474992351,-0.00558543501269452,0.00421663790681656,0.0118346899274145,0.000530146013309367,0.00625768341646825,0.00465566468580951,-0.00149606058052962,-0.00305454922017268,-0.0108361613505746,-3.88406858628839e-05,0.00454399885798269,0.00256984599931506,-2.57296254691088e-05,-0.00210683913507127,-0.000819110616160297,-0.00940573678692329,0
"GSM1933012",0.00120373099382541,-0.000766195348456534,0.00476753661426928,0.00832173499249039,-0.00333491331117206,-0.0028452655663024,-0.0132974899000095,0.00408609103531272,-0.00289967164281235,-0.00924095887911405,-1.36338775321654e-05,-0.000126241432831694,-0.00204991282565434,-0.000457563109010996,-0.00732814001311983,0.00400247764977228,0.0107883844517193,0.000443554124634473,0.00627644599721895,0.00376499700884184,-0.00130497243403442,-0.00281329408917291,-0.0116857446331021,-3.64266494022656e-05,0.00472065886676374,0.00220492510950209,-2.51711451288595e-05,-0.00249326942711438,-0.00081153957898404,-0.00972411996160476,1
"GSM1933013",0.00104252817120497,-0.000800476916031756,0.00466949811976494,0.00838143578960288,-0.00281123085567549,-0.00269234023351548,-0.0129648477300102,0.00424483907473404,-0.00294595592353889,-0.00907007302397254,-1.2142721020046e-05,-0.000106423813532262,-0.00194868702743513,-0.000527020922397515,-0.00627921868678248,0.00428151283920597,0.0116928575482652,0.000464499367396076,0.00701784711078872,0.00381671824373923,-0.00133730867465907,-0.00311780533617079,-0.0113488814074366,-3.91690922767131e-05,0.00479398062422493,0.00227966053379972,-2.61847132342173e-05,-0.00218801338874569,-0.00079349115076734,-0.00998646289929539,1
