"","ABCC5","ALPL","ASH2L","B3GNT7","CBR1","CD14","CD59","COL18A1","COL5A1","EIF1AX","ELN","EPHA2","ERH","FASN","FGA","LAMB3","MAGEA1","MYADM","MYEOV","PDGFA","PFDN2","RBBP7","RBM38","RGCC","RPL36AL","RPL37","RPS21","RTCB","TM9SF2","class"
"GSM1933013",0.00013504377278439,-0.00557817184769615,0.00991010194326221,0.00550516277424685,0.000842599099787366,-0.00532580414823887,-0.00398639753429161,0.000910824825254687,0.000605157667494883,0.00257997458861384,-0.00134688413599194,-0.00877110159169012,0.00860677041743647,-0.00203259270308751,-0.000490273562669283,-0.000527635065952693,-6.55245040812375e-05,-0.00492475661828612,-0.00698662082859718,-0.00026915779731679,0.00243559608047557,0.00113238734940939,0.00193163829670003,-0.00533822560300551,0.00609854854889114,0.00112426026333476,-0.0012199034105925,0.00536672748952387,-0.00413282301788225,1
"GSM1933014",0.000142551820186514,-0.00547631577828601,0.0110843192260529,0.00550340161476723,0.001376775560187,-0.00421738039303421,-0.00395013984317481,0.000889261193615018,0.000533388632241315,0.00272098469761512,-0.00129691832723282,-0.00989514150593581,0.00853115184675737,-0.00205990771507837,-0.00050098755208252,-0.000479973478690188,-6.89205724192537e-05,-0.00433092943642975,-0.00724221216464038,-0.000248645530581565,0.00250899048652586,0.00115058492041855,0.00195468170427596,-0.0050746767166077,0.00616992912133955,0.00118111519955049,-0.00125000513016817,0.00568456383112981,-0.00416549414727926,1
"GSM1933015",0.000139836212223207,-0.00561682068947987,0.0101420415217836,0.00566520785460607,0.00101777660236386,-0.00523868300367781,-0.00475141524468204,0.000896083031402759,0.000589371713044016,0.00244265177776728,-0.00136894060652024,-0.0102638073542652,0.00825499585661137,-0.00205264038430171,-0.000497843796294482,-0.00056751170997439,-6.79652400802564e-05,-0.0050192977924628,-0.00826489390962286,-0.000273247689509869,0.00244465565210741,0.00106057302841699,0.00221848697547027,-0.00534552261759146,0.00610920003177202,0.00116524555677046,-0.00123771877673344,0.00555910825575603,-0.00485955953668243,1
"GSM1933016",0.000137804295094207,-0.00576047816972887,0.0088534167690666,0.00560327530634755,0.000871542518043753,-0.00502092547451956,-0.00396659621869461,0.000925949862467517,0.000566222901607929,0.00253592645879328,-0.0013842821794781,-0.00906225635736026,0.00811941533567894,-0.00206818070859144,-0.000509281847059361,-0.000505546719842308,-7.83257718207771e-05,-0.00467619586239578,-0.00750692638893002,-0.0002785221894936,0.00249514713632988,0.00112743823021989,0.00201524417622823,-0.00554806676154045,0.00590996593261553,0.00112571834617538,-0.00120615927117488,0.00537858948867496,-0.00414002311533184,0
"GSM1933017",0.000152392229933499,-0.00568293900740024,0.00962508011293517,0.00556534661694275,0.00130591781020865,-0.00447161925398471,-0.00398939620343362,0.000927824951148866,0.000595728098811961,0.00252686883589943,-0.00143441329233443,-0.00846506317815282,0.00807153754830399,-0.00200005423997145,-0.000492559254446052,-0.000556595006069635,-6.87131817295184e-05,-0.00490922356458249,-0.00710349915920279,-0.000269897512278302,0.00244721807161473,0.00112405996107815,0.00193483701799924,-0.00528495213268027,0.00576007424858295,0.00112449702858726,-0.00121384090190639,0.00580631840069098,-0.00403654734594512,1
"GSM1933020",0.0001345559326485,-0.00597952414741349,0.00965399107845985,0.00568626981285454,0.000987903286570901,-0.00424780482112479,-0.00379608482811341,0.000907300712426011,0.000556777195713767,0.0024796541239312,-0.00134436998255978,-0.00868125450687044,0.00781667866151601,-0.00203373458249233,-0.000541720888329445,-0.000566137363043507,-7.51279888958136e-05,-0.00514820546356544,-0.00802932762201419,-0.000258939436429304,0.00246841367382647,0.00110240554285529,0.0019613306860534,-0.0052709288100164,0.00561056468317485,0.00112570235983277,-0.00111309169138443,0.0052917858595852,-0.00388654583455236,1
"GSM1933021",0.000115354558927263,-0.00609328542881625,0.00893487977664917,0.00554243399783776,0.000847802636214197,-0.00529694054651942,-0.00421524478271604,0.000918768972672616,0.000598199306635472,0.00233456292952299,-0.00139441821567144,-0.00925965444670307,0.007625063346076,-0.00191300793001746,-0.000521198556157173,-0.00052401708513874,-6.93397950335494e-05,-0.00524690958007407,-0.00723583017387474,-0.000259123981984049,0.00231117692949312,0.00105879394990045,0.00194909756641789,-0.00554296898121632,0.00590594162657871,0.00104872355055849,-0.00114552908521715,0.00512132252077683,-0.00419002256908344,1
"GSM1933023",0.00011081755119894,-0.00554002479121575,0.0100065651507433,0.00556779011054217,0.000936217192544527,-0.00519945470915996,-0.00447647764355098,0.000923676780717069,0.000640121921552471,0.00264229691308283,-0.00134319723702388,-0.00877341749169826,0.00834806740558181,-0.00198892114966856,-0.000518165642710354,-0.000542502177999367,-6.87565452792006e-05,-0.00508965293999594,-0.0082310441866538,-0.000263173055354142,0.00248981930813656,0.00110051599983786,0.00195497556824121,-0.00525566283778216,0.00628002784664816,0.00113156787508132,-0.00128681113484011,0.00579221069698811,-0.00418866023910213,1
"GSM1933024",0.000140300912726728,-0.00596905481511897,0.0100215969196419,0.00568262929796619,0.000810677155547441,-0.00496384687797625,-0.00382187679616228,0.000915835929178177,0.000548271725134004,0.00236713200051287,-0.00132398254173836,-0.00884155318862525,0.00767059405791248,-0.00207621686183867,-0.000512513213261128,-0.000571659817946137,-7.09750135259115e-05,-0.00466450488965076,-0.00775170546200099,-0.00026062039825185,0.00250808180660308,0.00108775360184137,0.00206652776748592,-0.00501118137110994,0.00581752907523993,0.00114386245194144,-0.00123406654670411,0.00515605204359089,-0.00392632913291325,1
"GSM1933026",0.000136833432927105,-0.00609091622715484,0.0105070567705796,0.00568699175625151,0.00129140335714376,-0.00484429073256623,-0.0042680407664515,0.000932256882099377,0.000581449227201332,0.00274629631656231,-0.00134778557782248,-0.00855807034467079,0.00839813057279179,-0.00199423150622624,-0.000516309757185029,-0.000552322580839428,-6.98852286575255e-05,-0.00489310375860965,-0.00736845722154312,-0.000266408730568262,0.00265733652964535,0.00120102784886767,0.00203224106799002,-0.00518006932256839,0.00638347956609386,0.00112882275911272,-0.00126274325536332,0.00555223538587496,-0.00421077177860786,1
