"","A2M","ATP6V1F","BAG4","BOLA1","CD14","CDKN1A","CTTN","EIF3D","EPHA2","FASN","FGA","FLII","FSTL3","GOLIM4","GPI","GTF3C6","MFSD1","PDGFRB","PHPT1","RGCC","RPL27","RPL37","RPS18","RPS29","S100A11","SERPINE1","SNRPG","SOD1","STEAP1","THYN1","TM9SF2","TNFRSF12A","class"
"GSM1932988",-0.00053599119737594,0.0193065051293958,0.000480849320441848,0.0265280517945577,-0.00232464665315853,-0.00680842895566565,-0.00036822916443607,0.00530371513510576,-0.00581876064286062,-0.00258308613724203,-2.37288920122385e-05,-0.00123432733839213,-0.00516220938098795,0.00511803311448906,-4.96189285023841e-05,0.00760693731231484,0.00677879512436702,0.00106519741763188,-0.0126778520323428,-0.00617050402227938,0.000480264069106414,0.00109573464337189,-0.000223366159438884,0.000258320720947974,2.63076234312684e-05,0.00115883283367811,-0.000238982906794501,0.000122715985808832,-0.00502024508955928,-0.00112954232182033,-0.00787080065764771,-0.00865671333140007,1
"GSM1932989",-0.000532243074346645,0.0159507042140441,0.000458104549099966,0.0239227789212627,-0.00203977100446122,-0.00661510194667743,-0.000318049533166218,0.00404800502990407,-0.00520646830451672,-0.0023685306223364,-2.56357326580187e-05,-0.00110840438227904,-0.00506015637489003,0.00467862749157973,-4.17878220782656e-05,0.00626993010300792,0.00566713023041112,0.00100442457043432,-0.0112595589113852,-0.00561661956847994,0.000394143430915213,0.000892126278817304,-0.000216310499801068,0.000220917415535249,2.18009633158701e-05,0.001364898971167,-0.00020654862715073,9.25716748282724e-05,-0.00434848478061422,-0.00101085905267747,-0.00605496124192575,-0.00786598711896143,1
"GSM1932990",-0.000659052448616302,0.018816750178273,0.000477488099373152,0.0252907753842455,-0.00246758500818622,-0.00686129132431041,-0.000345870533223078,0.00485252605886922,-0.0055096293902175,-0.00268975251420735,-2.61586965701684e-05,-0.00125367250013027,-0.0053445718128254,0.00462725725940857,-4.52016465206501e-05,0.00763589577331709,0.00615015477051648,0.00115751024234529,-0.0121872653779907,-0.00603527515131623,0.000475832025197435,0.00116274012889323,-0.000229673404384355,0.00025490160886781,2.39916173956645e-05,0.00145839927082024,-0.000219033480188676,0.000113195288644167,-0.00458677045068796,-0.00115142823894008,-0.00788207780936955,-0.00833077626359797,1
"GSM1932991",-0.00067500820146965,0.0190644052272537,0.000511491592283309,0.0255708167381868,-0.00281460935022267,-0.00724005485701368,-0.000348809648406898,0.00483907273442747,-0.00540100834794004,-0.00262215011272733,-2.37324666611009e-05,-0.00122493088161673,-0.00528760946619064,0.00477655299344511,-5.07502006713941e-05,0.00762979859386261,0.00662300353888378,0.00117833577572528,-0.0123510928986047,-0.0068238783560931,0.0004606836469028,0.00106431526054404,-0.000219149658915401,0.000254270678704961,2.37531505341833e-05,0.00142222435503803,-0.000242793770422432,0.000111380517993482,-0.00507369972685094,-0.00111384554165168,-0.00776576668780286,-0.00848874265550748,1
"GSM1932992",-0.000632852104192624,0.0180673104117336,0.000473910121776431,0.0260130294528336,-0.00253280745414087,-0.00678675968831003,-0.000343960021420404,0.00517007075467549,-0.00522989329451776,-0.00269018530632279,-2.62000453795396e-05,-0.00117866343139873,-0.00513305139168817,0.00468948889420464,-4.90495018359304e-05,0.00743371114595655,0.00642087287220999,0.00111315354362198,-0.0119923906301444,-0.0061028268657885,0.000476328268145431,0.0011542592674487,-0.000229979985545028,0.00025652004653181,2.453022249803e-05,0.00126543304204774,-0.00026934042190372,0.000113997264280697,-0.0042997976465208,-0.00113967304862929,-0.00750820917516463,-0.00803660422772509,1
"GSM1932993",-0.000650837779299422,0.0165317574008056,0.000408368055750499,0.023613739828259,-0.00225191774289152,-0.00672325163931532,-0.000342154018076264,0.00452275431513599,-0.00537238537255814,-0.00236358198008006,-2.65346865404087e-05,-0.00119751117749547,-0.00517776338398559,0.00439300778386441,-3.81341890097658e-05,0.0065990472832505,0.00581962732395193,0.00116502786132297,-0.0118204382335702,-0.00621616101156059,0.000435366675913632,0.00102320021355086,-0.000212600648919855,0.000229915340717767,2.19742746601847e-05,0.00117056783396485,-0.000195395837631645,9.97369452980596e-05,-0.00406762436421411,-0.00106388512983315,-0.00673886661000645,-0.00836904175582958,1
"GSM1932994",-0.000589346529755243,0.0185677879183499,0.000450799015125732,0.0247242802640813,-0.0026170960963276,-0.00670700765746629,-0.000353489372768898,0.00477651182374657,-0.00508110798388809,-0.00269262387996235,-2.26454266197467e-05,-0.001228272652223,-0.00516439751719268,0.00491413473911226,-4.5791990959659e-05,0.00739437100950318,0.00642079624477259,0.00114778364923064,-0.0124839551495746,-0.00591162863123795,0.000463530336833274,0.00105349031520444,-0.000213386037244459,0.000241719951319357,2.46204677555631e-05,0.00118019961474129,-0.000222900605043866,0.00011531572548728,-0.00526612668346215,-0.00110973625947589,-0.00775445206193266,-0.00806767493578846,1
"GSM1932995",-0.000688260872606552,0.0177765469642093,0.000407148797434232,0.0242990645518819,-0.00260322196183849,-0.00700355777409736,-0.000325288064229798,0.00464666642758648,-0.0053862990895362,-0.00241568939525262,-2.74557618191798e-05,-0.00122533428974658,-0.0052057890444533,0.00437468772692332,-4.1082044696918e-05,0.00686184467195138,0.00638368971354671,0.00114112581307571,-0.0121617608513069,-0.0062474125031221,0.000451577368130063,0.00100857660054748,-0.000218782427666034,0.000239611496063089,2.33192057756372e-05,0.00127198238186244,-0.000192920178766205,0.000105154056484358,-0.00424773925181595,-0.00112389548127884,-0.00724463713537914,-0.00808832462594264,1
"GSM1932996",-0.000615841280121282,0.0172645450565086,0.000465283425785528,0.0240754008483936,-0.00204183362734613,-0.00658000683201115,-0.000352141520923644,0.00485998660791029,-0.0049278941986642,-0.0026172448948105,-2.30765021182772e-05,-0.00111607053009052,-0.00500994004787017,0.00478034037364955,-4.65778902909668e-05,0.00753313072060813,0.00591498591205695,0.00108985466309485,-0.011419601701792,-0.00588752096711564,0.000479225187824913,0.00123730269588828,-0.000221170707508936,0.000250570925461743,2.11959892989933e-05,0.00118700782264323,-0.000256879149619833,0.000116331894452292,-0.00364071222468142,-0.00121732003916841,-0.00692020563608007,-0.00781752616888655,0
"GSM1932997",-0.000712447103749876,0.0186500046787285,0.00048377078592565,0.0244618067420076,-0.00258156641690243,-0.00695366174195105,-0.000369114962488757,0.00524012083536874,-0.00522672866638541,-0.00255835948982011,-2.94838272312522e-05,-0.00124083373993814,-0.0053364706637685,0.00570879075336407,-5.09039116598322e-05,0.00764019357884053,0.00658701289306458,0.00112388427680051,-0.012825130801546,-0.00660153479496361,0.000476376332046579,0.00111627378988367,-0.000226398597511575,0.000243423664370042,2.50483001606375e-05,0.00115125574444037,-0.000232936100697871,0.000118536341769175,-0.00444760444347885,-0.00131969425370617,-0.00754230095322685,-0.00859013840780421,0
"GSM1932998",-0.000550277734814623,0.018844985288413,0.000429185581977897,0.0250805913268467,-0.00227780612199743,-0.00761209034659117,-0.000364290368284031,0.00477086648214722,-0.0061150741231756,-0.00248793606871254,-2.37848716489284e-05,-0.00118437584245678,-0.00559613092206302,0.00508587041477325,-4.75057063678717e-05,0.00733187625830922,0.00561777911305273,0.00120117172829898,-0.0123893924003496,-0.00609530550072997,0.000475882367122106,0.00107959944503925,-0.00022066800833102,0.000248659891999621,2.47855281535301e-05,0.00157257334347435,-0.000247348103201157,0.000112367259614711,-0.00511675391105038,-0.00107397086584464,-0.00709473672802473,-0.00925819129886575,1
"GSM1932999",-0.000675650279468405,0.0187615766001471,0.000499177476715153,0.0252606655702517,-0.0026226496173028,-0.00694012180070934,-0.000439332488007354,0.00488889820831584,-0.00531899113107533,-0.00254495626844804,-2.37652105000334e-05,-0.00120184811933904,-0.00547831935082687,0.00517714573500699,-4.4488957864538e-05,0.00724656112213745,0.0063788757269609,0.00122156146214428,-0.0121497117324312,-0.00650230947228158,0.000467083174161805,0.00110869425539171,-0.000223118383934042,0.00024518302478743,2.37002188726252e-05,0.00114742439388874,-0.00022407812721575,0.000113906011450324,-0.00451918559614443,-0.00111882436438845,-0.00723810068973701,-0.00832858179469359,1
"GSM1933000",-0.000671869328409857,0.0189646031721477,0.000484391439339529,0.0252000246357952,-0.00226105540708505,-0.0069204997469142,-0.000380809771717942,0.00529283128948052,-0.00525186432063323,-0.0028210023058074,-2.37884075431774e-05,-0.00125392828991224,-0.00518270545418658,0.00564099144111901,-4.97152272674553e-05,0.00755881751673448,0.00662510592080893,0.00114850324624418,-0.0120688811456391,-0.00609329699036208,0.000503255565217271,0.00120177040084728,-0.000227615966445731,0.000266031964243004,2.35900146289337e-05,0.0011009117635077,-0.000248469667413186,0.000119223943930957,-0.0043997045365674,-0.00125378872103483,-0.00819330914779989,-0.00810953103981243,0
"GSM1933001",-0.000624028977613931,0.0184487313121659,0.000431317690861488,0.0248142418442364,-0.0023593942927849,-0.00680841326384443,-0.000334044141569645,0.00482252841957999,-0.00513932198332539,-0.00253307796401581,-2.34907076386359e-05,-0.0011797327767006,-0.00513919697736672,0.00513778429840667,-4.65687270993908e-05,0.00739088374227246,0.0060925858271914,0.00110018716575678,-0.012326521039733,-0.00632257491641109,0.000471054334064157,0.00110188482855315,-0.000220484293022903,0.000247712818678945,2.41878709503348e-05,0.00116927293620899,-0.000230176191582596,0.000119877178291098,-0.00462584806053784,-0.00112800122827598,-0.0072525036067314,-0.00818012724591311,0
"GSM1933002",-0.0006280000461293,0.0183360090644081,0.000446301797524015,0.0249707856456527,-0.00258339808204348,-0.00738609317012748,-0.000377399755348019,0.00499457554345598,-0.00627476591993885,-0.00250503236388233,-2.50866494512799e-05,-0.00122560150896892,-0.00521918798285616,0.00458811236922167,-4.24421848166825e-05,0.00819788370983605,0.00645231232456476,0.00110293989724586,-0.0120145027449376,-0.00636853945271308,0.00045406868215398,0.00108218498632184,-0.000223381830916471,0.000246887849429101,2.57940841690986e-05,0.00120888341170064,-0.000211677290501463,0.000105946945646651,-0.00472039423864636,-0.0010768399503254,-0.00770989572759991,-0.00847937624812114,1
"GSM1933003",-0.00066200888065494,0.0189563039053573,0.000526821605590654,0.0246183507710721,-0.00247957752713443,-0.00711202913647055,-0.000350711196122337,0.00498736214498716,-0.00545037164067117,-0.00263461638946462,-2.51813169541904e-05,-0.00122036427802447,-0.00535281108807353,0.00517297170275103,-4.8196000461253e-05,0.00757039025565902,0.00649452522700921,0.00117450466400852,-0.0123952656727132,-0.00669905041406684,0.000470575827011785,0.00109989194335954,-0.000220126141623719,0.000245451257455128,2.48673881581902e-05,0.00148583222997446,-0.000227252473144205,0.000109509455730101,-0.00416051545429669,-0.00108058393564218,-0.00749246189111426,-0.00886231302919936,0
"GSM1933004",-0.000621555812138606,0.0192153273454578,0.000446058747781564,0.0249674249487721,-0.00238208301874658,-0.00721188820605226,-0.000388000401435452,0.0053770765130253,-0.00541209790391542,-0.00258936131173799,-2.68834066922422e-05,-0.00119453909636229,-0.0053044792732532,0.00503312258738431,-5.23696134391947e-05,0.00753582593558371,0.00587059041748535,0.00111373527231621,-0.012227620051868,-0.00637405443228905,0.00047115369028854,0.00121420892892926,-0.000237638035737293,0.000250230218089312,2.5085706124567e-05,0.00135264466152895,-0.000254576277609859,0.000117672443191718,-0.00494385179076638,-0.00115153150831183,-0.00747959289289327,-0.00907057747304007,0
"GSM1933005",-0.000641432924061766,0.018361647726493,0.000506466636994735,0.0243472224040499,-0.00220442014396915,-0.006596393044174,-0.000357927844405247,0.00455092152672185,-0.00542650199045666,-0.00257281355723323,-2.59115273312746e-05,-0.0012098328207436,-0.00523929745232394,0.0048402906610445,-4.42299015031565e-05,0.00727924864914989,0.00586225013282026,0.00115426447317949,-0.0120618812107379,-0.00646378454954932,0.000450536561039783,0.00118744676536782,-0.000218464402738953,0.000239231540295999,2.37356391606337e-05,0.0013642710098604,-0.000249810009244539,0.000104878783341594,-0.00463872845734492,-0.00116639339916345,-0.0071119265289151,-0.00842265429427137,1
